your_call(sharp|same|cannot),confidence(1_guess|2_lean|3_sure),event_id,answer(1_hand_kinematic|2_object_relative|3_semantic_context|4_not_resolvable),what_evidence_would_settle_it,notes
sharp,3_sure,recording_000019_batch3_gt_boundary_t112.5,2_object_relative,whether both hands fully released the bottle and then re-established contact before pulling it closer,Confirmed: complete hand-object release followed by re-contact is treated as a clear transition.
sharp,3_sure,recording_000205_batch3_gt_boundary_t77.5,1_hand_kinematic,whether both hands keep withdrawing after the candidate and leave a hand-free interval over the sink,Both hands stop the manipulation and leave the sink interaction immediately after the candidate.
sharp,2_lean,recording_000212_batch3_raw_change_peak_t228.0,2_object_relative,whether the box is moved aside and released before the hands begin handling the exposed sachets,"The box-opening phase turns into handling the exposed contents, but the transition unfolds over several frames rather than one instant."
same,3_sure,recording_000019_batch3_gt_boundary_t9.5,1_hand_kinematic,the repeated left-right hand trajectory on both sides of the centre with no sustained stop,The centre is one reversal within a regular back-and-forth cycle.
sharp,3_sure,recording_000172_batch3_raw_change_peak_t374.0,1_hand_kinematic,whether both hands enter after the sustained hand-free interval and begin a new directed reach into the sink,A sustained idle interval ends when both hands re-enter and initiate a new interaction.
sharp,3_sure,recording_000155_batch3_raw_change_peak_t228.0,2_object_relative,whether both hands fully release the cable and remain off it before later re-contacting it to begin winding,Clear action-to-idle transition: both hands leave the cable before the next interaction begins.
same,3_sure,recording_000431_false_mid_segment_t470.5,1_hand_kinematic,whether the same short tucking and smoothing motion repeats around the bowl without a sustained stop or hand withdrawal,Continuous repetitive tucking around the bowl with no interaction reset.
same,3_sure,recording_000422_false_mid_segment_t561.0,2_object_relative,whether the hands maintain continuous contact with the same bowl and plastic wrap while continuing to position and smooth it,The bowl entering the centre is part of the same wrapping task; there is no release or interaction reset.
sharp,3_sure,recording_000180_batch3_raw_change_peak_t71.0,2_object_relative,whether the right hand stops manipulating the strainer and makes contact with the faucet control,The right hand switches interaction target from the strainer to the faucet while the left hand holds the strainer.
same,3_sure,recording_000102_false_mid_segment_t439.0,1_hand_kinematic,whether both hands continue the same alternating pinching and folding rhythm across the centre without a sustained stop,Continuous repetitive manipulation with no release or trajectory reset.
sharp,3_sure,recording_000126_batch3_raw_change_peak_t225.0,2_object_relative,whether the right hand sets aside the first component and picks a different pen body before joining it to the left-hand tip assembly,A visible object swap and renewed contact separate the two assembly steps.
same,3_sure,recording_000105_false_gap_t501.5,1_hand_kinematic,whether both hands maintain the same repeated folding and flattening rhythm through the centre,No interaction reset; this is internal motion within continuous folding.
same,3_sure,recording_000187_batch3_raw_change_peak_t367.0,2_object_relative,whether one hand remains on the tape-measure body while the other immediately repositions on the same tool after retraction,"The tape finishes retracting, but the tool remains continuously held; the other hand only repositions within the same operation."
same,2_lean,recording_000006_batch3_raw_change_peak_t468.0,1_hand_kinematic,whether the right hand's sweeping rhythm continues across the centre while the other hand only repositions,"Brief repositioning is boundary-like, but the sweeping action appears continuous."
cannot,1_guess,recording_000008_batch3_gt_boundary_t650.1,4_not_resolvable,"a lower and wider view showing the hands, broom and dustpan as they move to the next floor section",The critical interaction occurs at the bottom edge or off-screen.
cannot,1_guess,recording_000056_batch3_gt_boundary_t261.0,4_not_resolvable,a lower view showing the hand or tool contacting the waste and the disposal target at the candidate time,The critical interaction is outside the lower frame; only a partial pole and viewpoint change are visible.
same,3_sure,recording_000008_batch3_gt_boundary_t163.0,1_hand_kinematic,the same sweeping stroke repeating through the centre without a pause or trajectory reset,Continuous repeated sweeping into the same dustpan.
sharp,3_sure,recording_000219_batch3_gt_boundary_t427.0,2_object_relative,"whether both hands fully release the small metal tin, leave a hand-free interval, and later re-contact it to place it back",The tin interaction is fully reset: release and hand withdrawal are followed by a separate re-contact.
sharp,3_sure,recording_000169_batch3_gt_boundary_t350.0,1_hand_kinematic,whether both hands continue withdrawing from the sink immediately after the candidate instead of resuming the same motion,Both hands stop manipulating the strainer and leave the interaction within about 0.4 seconds: a clear action-to-idle transition.
sharp,3_sure,recording_000236_missed_signal_present_not_top_t572.8,2_object_relative,whether the right hand leaves the closed box before both hands begin handling the loose material on the table,Contact with the box ends and the hands move to a different interaction target.
same,3_sure,recording_000102_missed_weak_signal_t95.0,1_hand_kinematic,whether the fold-unfold hand cycle continues through the centre without a pause or new reach,The same small folding cycle continues on both sides of the candidate.
sharp,3_sure,recording_000201_batch3_raw_change_peak_t498.0,2_object_relative,whether the strainer changes from being held near the faucet to making stable contact with the drain,"The strainer is transferred from the rinsing position and seated in the drain, creating a clear interaction-state change."
sharp,3_sure,recording_000250_duplicate_t645.0,1_hand_kinematic,whether both hands enter after the sustained hand-free interval and begin a coordinated reach toward the box,A clear idle-to-action transition occurs when both hands re-enter and initiate a new reach.
sharp,3_sure,recording_000024_batch3_raw_change_peak_t584.0,2_object_relative,whether both hands release and leave the sponge before reaching toward the bowl,The sponge is set down and contact ends before the next object interaction.
sharp,3_sure,recording_000184_batch3_raw_change_peak_t512.0,2_object_relative,whether both hands release the seated strainer and remain separated from it after the candidate,"Both hands terminate contact with the strainer and move apart, providing a visible interaction reset."
sharp,3_sure,recording_000188_false_gap_t456.0,2_object_relative,whether the first package is set down and fully released before the hands reach for the different package,The first object is released and the next reach targets a different package: a clear object-interaction reset.
same,3_sure,recording_000150_false_mid_segment_t498.5,2_object_relative,whether both hands maintain contact with the same remote while rotating it from one face or edge to another,The object is continuously held; turning it is part of one inspection action.
sharp,3_sure,recording_000030_late_t387.5,2_object_relative,whether the right hand fully releases the bottle at the centre and remains off it before the later reach,The bottle-move phase ends with a clear release and pause.
sharp,3_sure,recording_000213_false_gap_t242.5,2_object_relative,whether the right hand leaves the strainer and establishes contact with the faucet control,A clear interaction-target switch occurs from the strainer to the faucet control.
same,3_sure,recording_000134_false_near_edge_t562.5,2_object_relative,whether the hands remain on the same tissue sheet while changing from flattening it to pinching and folding its edge,Same object and continuous goal; the posture change is internal motion.
sharp,3_sure,recording_000025_batch3_gt_boundary_t112.0,2_object_relative,whether both hands release the bottle and remain off it before re-contacting it to move it back,A clear release and pause separates the two opposite-direction moves.
sharp,3_sure,recording_000422_missed_signal_present_not_top_t312.7,2_object_relative,whether both hands leave the wet plastic piece and bowl before reaching toward the plastic-wrap roll,"The wetting/crumpling interaction ends with hand withdrawal, followed by a new reach to the roll."
sharp,3_sure,recording_000325_missed_signal_present_not_top_t32.5,2_object_relative,whether the right hand leaves the pan rim and switches to the bottle or cap as the bottle is moved over the pan,The interaction target changes from holding the pan to preparing and applying liquid from the bottle.
sharp,3_sure,recording_000419_false_near_edge_t309.5,1_hand_kinematic,whether both hands remain absent through the viewpoint shift and then re-enter in a new directed reach,"Despite the camera movement, the hand-free interval followed by a new reach makes the interaction reset visible."
sharp,3_sure,recording_000061_early_t167.3,2_object_relative,whether the tissue fully separates from the pack before both hands leave the pack and move toward the table,"Extraction completes, contact with the pack ends, and the hands move away to begin the next interaction."
cannot,1_guess,recording_000072_batch3_gt_boundary_t629.0,4_not_resolvable,a forward-facing view showing the hands and camera while the wearable camera is being repositioned,The camera faces a wall and the critical hand action is not visible.
