# batch3 events whose subtype most likely originated with Claude reading
# 2.5 fps contact sheets in chat, not with human video review.
# evidence=ffmpeg : an assistant ffmpeg command decoded this clip's frames
# evidence=upload : its media was attached in chat but no decode is recorded
# Derived from session transcripts, not from recall. A LOWER BOUND:
# only sessions still on this machine were searched.
# No event in pair_labels_v1.csv shows either kind of trace.
event_id,evidence,stored_subtype,in_clean_set
recording_000025_batch3_gt_boundary_t112.0,upload,sharp_visible_transition,1
recording_000027_batch3_gt_boundary_t142.0,upload,sharp_visible_transition,1
recording_000048_batch3_raw_change_peak_t96.0,upload,sharp_visible_transition,1
recording_000050_batch3_raw_change_peak_t104.0,upload,same_action_internal_motion,1
recording_000066_batch3_raw_change_peak_t190.0,ffmpeg,gradual_phase_transition,0
recording_000067_batch3_gt_boundary_t440.5,ffmpeg,sharp_visible_transition,1
recording_000068_batch3_gt_boundary_t57.5,ffmpeg,sharp_visible_transition,1
recording_000068_batch3_raw_change_peak_t464.0,ffmpeg,gradual_phase_transition,0
recording_000069_batch3_gt_boundary_t330.0,ffmpeg,visibility_or_offscreen,0
recording_000071_batch3_gt_boundary_t160.5,ffmpeg,same_action_internal_motion,1
recording_000072_batch3_gt_boundary_t269.5,ffmpeg,visibility_or_offscreen,0
recording_000072_batch3_gt_boundary_t629.0,ffmpeg,sharp_visible_transition,1
recording_000073_batch3_raw_change_peak_t197.0,ffmpeg,visibility_or_offscreen,0
recording_000074_batch3_gt_boundary_t182.0,ffmpeg,visibility_or_offscreen,0
recording_000074_batch3_gt_boundary_t200.0,ffmpeg,visibility_or_offscreen,0
recording_000075_batch3_gt_boundary_t191.5,ffmpeg,same_action_internal_motion,1
recording_000075_batch3_raw_change_peak_t611.0,ffmpeg,sharp_visible_transition,1
recording_000077_batch3_gt_boundary_t328.0,ffmpeg,sharp_visible_transition,1
recording_000079_batch3_raw_change_peak_t156.0,ffmpeg,gradual_phase_transition,0
recording_000081_batch3_gt_boundary_t397.0,ffmpeg,visibility_or_offscreen,0
recording_000081_batch3_raw_change_peak_t222.0,ffmpeg,visibility_or_offscreen,0
recording_000081_batch3_raw_change_peak_t398.0,ffmpeg,visibility_or_offscreen,0
recording_000088_batch3_gt_boundary_t275.0,ffmpeg,same_action_internal_motion,1
recording_000088_batch3_gt_boundary_t371.0,ffmpeg,gradual_phase_transition,0
recording_000088_batch3_raw_change_peak_t651.0,ffmpeg,same_action_internal_motion,1
recording_000089_batch3_raw_change_peak_t191.0,ffmpeg,camera_or_viewpoint_shift,0
recording_000091_batch3_raw_change_peak_t343.0,ffmpeg,visibility_or_offscreen,0
recording_000092_batch3_raw_change_peak_t529.0,ffmpeg,sharp_visible_transition,1
recording_000096_batch3_gt_boundary_t516.0,ffmpeg,same_action_internal_motion,1
recording_000096_batch3_raw_change_peak_t185.0,ffmpeg,same_action_internal_motion,1
recording_000096_batch3_raw_change_peak_t608.0,ffmpeg,same_action_internal_motion,1
recording_000096_batch3_raw_change_peak_t77.0,ffmpeg,same_action_internal_motion,1
recording_000097_batch3_gt_boundary_t176.5,ffmpeg,same_action_internal_motion,1
recording_000098_batch3_raw_change_peak_t617.0,ffmpeg,same_action_internal_motion,1
recording_000099_batch3_gt_boundary_t474.0,ffmpeg,same_action_internal_motion,1
recording_000100_batch3_gt_boundary_t476.0,ffmpeg,same_action_internal_motion,1
recording_000100_batch3_raw_change_peak_t646.0,ffmpeg,gradual_phase_transition,0
recording_000101_batch3_gt_boundary_t429.5,ffmpeg,same_action_internal_motion,1
recording_000101_batch3_gt_boundary_t48.0,ffmpeg,same_action_internal_motion,1
recording_000101_batch3_raw_change_peak_t145.0,ffmpeg,same_action_internal_motion,1
recording_000103_batch3_gt_boundary_t333.0,ffmpeg,same_action_internal_motion,1
recording_000104_batch3_gt_boundary_t392.0,ffmpeg,same_action_internal_motion,1
recording_000108_batch3_gt_boundary_t337.0,ffmpeg,same_action_internal_motion,1
recording_000108_batch3_gt_boundary_t517.5,ffmpeg,same_action_internal_motion,1
recording_000108_batch3_raw_change_peak_t590.0,ffmpeg,same_action_internal_motion,1
recording_000114_batch3_gt_boundary_t498.0,ffmpeg,sharp_visible_transition,1
recording_000120_batch3_gt_boundary_t32.1,ffmpeg,sharp_visible_transition,1
recording_000121_batch3_gt_boundary_t179.5,ffmpeg,sharp_visible_transition,1
recording_000121_batch3_raw_change_peak_t556.0,ffmpeg,same_action_internal_motion,1
recording_000122_batch3_raw_change_peak_t544.0,ffmpeg,visibility_or_offscreen,0
recording_000125_batch3_gt_boundary_t386.0,ffmpeg,same_action_internal_motion,1
recording_000125_batch3_raw_change_peak_t126.0,ffmpeg,same_action_internal_motion,1
recording_000126_batch3_raw_change_peak_t225.0,ffmpeg,same_action_internal_motion,1
recording_000127_batch3_gt_boundary_t220.0,ffmpeg,same_action_internal_motion,1
recording_000127_batch3_gt_boundary_t304.0,ffmpeg,same_action_internal_motion,1
recording_000127_batch3_gt_boundary_t572.1,ffmpeg,visibility_or_offscreen,0
