event_id,recording_id,subtype,evidence,notes
recording_000193_missed_signal_present_not_top_t264.2,recording_000193,regrasp_reposition,t action. The brief regrasp around the GT does,"The video shows one continuous cable-pulling and adjustment action. The brief regrasp around the GT does not form an action-level transition, and the telescopic-rod label does not match the visible object."
recording_000102_missed_weak_signal_t23.5,recording_000102,direction_reversal,ove it broadly from side to side. No semantic transi,"The video shows one continuous action in which both hands press the tissue against the table and move it broadly from side to side. No semantic transition is visible around the GT boundary at 23.5 s, and the labels ""Second fold and press tissue"" and ""Third fold and press tissue"" do not match the observed action. The very low model score at the GT is therefore appropriate; this apparent missed boundary is caused by a spurious and semantically incorrect annotation rather than a model detection failure."
recording_000105_missed_weak_signal_t72.0,recording_000105,periodic_repetition,hows one continuous circular wiping motion with both ha,"The video shows one continuous circular wiping motion with both hands pressing the tissue against the table. No semantic transition is visible around the GT boundary at 72 s, and the low model response is therefore appropriate. The repeated ""Paper fold-unfold cycle"" labels do not match the observed action, indicating a spurious boundary and incorrect semantic annotation rather than a model detection failure."
recording_000116_false_near_edge_t562.0,recording_000116,direction_reversal,internal motion or direction change within the ongoing,"The genuine transition occurs near the beginning of the clip, around 559.9 s, where the activity changes from rinsing under the faucet to cleaning the countertop with the squeegee. By 562.0 s, the participant is already continuously performing the same squeegee-cleaning action, with no new semantic transition. The prediction likely responds to an internal motion or direction change within the ongoing action rather than a valid boundary."
recording_000102_false_mid_segment_t439.0,recording_000102,direction_reversal,"n the ongoing large back-and-forth wiping motion, with","The prediction at 439 s occurs within the ongoing large back-and-forth wiping motion, with no clear semantic transition at that time. A genuine transition is visible near the later GT boundary at 441 s, where the motion changes to small circular wiping on the table. The 439 s prediction therefore appears to be a repetitive-motion false positive rather than a valid boundary."
recording_000102_false_mid_segment_t484.0,recording_000102,periodic_repetition,a continuous small circular wiping motion with no visi,"The video shows a continuous small circular wiping motion with no visible semantic transition around the predicted boundaries. Multiple predictions are produced throughout the segment, likely due to sensitivity to repetitive motion patterns rather than true action changes. The annotation label may not fully describe the observed motion."
recording_000112_false_mid_segment_t429.0,recording_000112,periodic_repetition,The model produces multiple peaks as the squeegee cha,"The video shows one continuous squeegee-wiping action with no semantic transition around 429 s. The model produces multiple peaks as the squeegee changes direction and moves across different parts of the sink surface, indicating sensitivity to repeated wiping strokes rather than true action boundaries. The containing label ""Wipe wet surfaces with squeegee"" is consistent with the observed action."
recording_000110_false_gap_t178.5,recording_000110,direction_reversal,"ary occurs when the wiping direction changes, producing","The video shows a continuous wiping action on the wet sink surface. The predicted boundary occurs when the wiping direction changes, producing a noticeable motion pattern shift, but this does not correspond to a semantic action transition. The prediction reflects sensitivity to internal motion variation rather than a true segment boundary."
recording_000105_false_gap_t505.5,recording_000105,periodic_repetition,while making large circular motions. No semantic trans,"The clip shows one continuous action in which both hands press the tissue against the table while making large circular motions. No semantic transition is visible around the prediction. Multiple peaks are generated throughout the periodic motion, indicating repetitive-motion sensitivity rather than a valid action boundary. The absence of a local GT boundary is visually supported."
recording_000105_false_gap_t501.5,recording_000105,periodic_repetition,while making large circular motions. No semantic trans,"The clip shows one continuous action in which both hands press the tissue against the table while making large circular motions. No semantic transition is visible around the prediction. Multiple peaks are generated throughout the periodic motion, indicating repetitive-motion sensitivity rather than a valid action boundary. The absence of a local GT boundary is visually supported."
