candidate_key,recording_id,candidate_time_s,temporal_event_type,true_boundary_start_s,true_boundary_end_s,timing_error_s_candidate_minus_truth,boundary_timing_judgment_at_1s,within_1s_tolerance,interaction_relation,left_segment_naming_support,right_segment_naming_support,audit_note,qc_flag
4/117,4,117.0,task_boundary,117.0,117.0,0.0,hit,yes,new_action,no,yes,,
4/449.3,4,449.3,task_boundary,450.1,450.1,-0.8,hit,yes,new_action,yes,yes,source/destination role reversal,
4/581,4,581.0,task_boundary,581.8,581.8,-0.8,hit,yes,new_action,yes,no,same stored label but real role reversal,
10/77,10,77.0,no_boundary,,,,no_boundary,n/a,not_applicable_no_action,no,no,,
10/420,10,420.0,no_boundary,,,,no_boundary,n/a,not_applicable_no_action,no,no,,
12/53.5,12,53.5,initial_action_start,53.5,53.5,0.0,hit,yes,initial_action_start,partial,no,,
12/170.5,12,170.5,task_boundary,170.5,170.5,0.0,hit,yes,new_action,yes,yes,,
12/245,12,245.0,no_boundary,,,,no_boundary,n/a,terminal_action_end,yes,no,candidate sits after completion/idle; no new task episode,
12/381,12,381.0,no_boundary,,,,no_boundary,n/a,terminal_action_end,yes,no,candidate sits after completion/idle; no new task episode,
12/389,12,389.0,task_boundary,389.0,391.0,0.0,hit_interval,yes,new_action,yes,yes,human truth is an interval,
12/390,12,390.0,task_boundary,390.0,390.0,0.0,hit,yes,new_action,yes,yes,,
14/3,14,3.0,initial_action_start,3.3,3.3,-0.3,hit,yes,initial_action_start,uncertain,yes,,
14/237,14,237.0,task_boundary,238.0,238.0,-1.0,hit,yes,new_action,yes,yes,,
14/427,14,427.0,task_boundary,427.0,427.0,0.0,hit,yes,new_action,yes,yes,,
14/433,14,433.0,task_boundary,433.0,433.0,0.0,hit,yes,new_action,yes,yes,,
14/514.3,14,514.3,task_boundary,515.3,515.3,-1.0,hit,yes,new_action,yes,yes,,
15/426.5,15,426.5,no_boundary,,,,no_boundary,n/a,same_instance,no,no,continuous umbrella organizing,
16/272,16,272.0,task_boundary,274.2,274.2,-2.2,early,no,new_action,no,partial,,
16/290,16,290.0,no_boundary,,,,no_boundary,n/a,same_instance,no,yes,continuous umbrella organizing,
16/500,16,500.0,no_boundary,,,,no_boundary,n/a,same_instance,no,yes,continuous umbrella organizing,
16/600,16,600.0,no_boundary,,,,no_boundary,n/a,same_instance,yes,no,continuous umbrella organizing,
18/66,18,66.0,task_boundary,67.5,67.5,-1.5,early,no,new_action,no,yes,,
18/293,18,293.0,task_boundary,295.0,295.0,-2.0,early,no,new_action,yes,yes,,
18/489,18,489.0,task_boundary,492.0,492.0,-3.0,early,no,new_action,no,partial,,
18/552,18,552.0,task_boundary,554.0,554.0,-2.0,early,no,new_action,partial,yes,,
21/53,21,53.0,no_boundary,,,,no_boundary,n/a,terminal_action_end,no,no,,
21/103,21,103.0,task_boundary,106.0,106.0,-3.0,early,no,same_action_new_instance,yes,yes,,
21/391,21,391.0,task_boundary,391.0,391.0,0.0,hit,yes,new_action,yes,no,right qualifier contradicts described running-water context,
21/591.2,21,591.2,task_boundary,592.7,592.7,-1.5,early,no,new_action,partial,no,post-side wash not visible in described exact clip,
32/89,32,89.0,task_boundary,89.0,89.0,0.0,hit,yes,new_action,yes,yes,,
32/135,32,135.0,no_boundary,,,,no_boundary,n/a,same_instance,no,uncertain,continuous umbrella organizing,
32/190,32,190.0,task_boundary,191.5,193.0,-1.5,early,no,new_action,uncertain,no,human truth is an interval,
34/54,34,54.0,task_boundary,55.0,55.0,-1.0,hit,yes,new_action,yes,yes,,
34/111,34,111.0,task_boundary,111.0,111.0,0.0,hit,yes,new_action,yes,yes,,
34/216,34,216.0,task_boundary,215.2,215.2,0.8,hit,yes,new_action,yes,no,,
36/52,36,52.0,no_boundary,,,,no_boundary,n/a,terminal_action_end,no,no,,
36/56,36,56.0,initial_action_start,56.0,56.0,0.0,hit,yes,initial_action_start,uncertain,partial,full preceding action not visible,
36/152.9,36,152.9,task_boundary,156.0,156.0,-3.1,early,no,same_action_new_instance,partial,partial,full action not visible,
36/441.6,36,441.6,initial_action_start,440.8,440.8,0.8,hit,yes,initial_action_start,no,partial,,
38/49.5,38,49.5,task_boundary,49.5,49.5,0.0,hit,yes,new_action,yes,yes,,
38/244,38,244.0,initial_action_start,243.2,243.2,0.8,hit,yes,initial_action_start,uncertain,no,described object is bowl while right label says cup,
38/301,38,301.0,initial_action_start,301.0,301.0,0.0,hit,yes,initial_action_start,uncertain,yes,,
38/481.5,38,481.5,no_boundary,,,,no_boundary,n/a,cannot_determine,uncertain,yes,hand action near image edge; no true boundary per human,
38/534,38,534.0,task_boundary,535.0,535.0,-1.0,hit,yes,new_action,yes,yes,,
39/271.5,39,271.5,task_boundary,271.5,271.5,0.0,hit,yes,new_action,yes,no,,
39/290.5,39,290.5,task_boundary,290.0,290.0,0.5,hit,yes,same_action_new_instance,uncertain,partial,,
39/377,39,377.0,task_boundary,378.5,378.5,-1.5,early,no,new_action,no,yes,,
39/511,39,511.0,task_boundary,510.5,510.5,0.5,hit,yes,new_action,partial,yes,,
40/269,40,269.0,task_boundary,272.0,272.0,-3.0,early,no,new_action,partial,uncertain,next action not described,
41/250.6,41,250.6,no_boundary,,,,no_boundary,n/a,same_instance,no,no,,
41/257.8,41,257.8,no_boundary,,,,no_boundary,n/a,same_instance,no,no,,
41/291,41,291.0,no_boundary,,,,no_boundary,n/a,same_instance,no,no,,
43/150.3,43,150.3,no_boundary,,,,no_boundary,n/a,not_applicable_no_action,no,no,,
43/365,43,365.0,no_boundary,,,,no_boundary,n/a,not_applicable_no_action,no,no,only ~1s table wiping visible,
43/406,43,406.0,task_boundary,406.0,406.0,0.0,hit,yes,new_action,no,no,,
44/262,44,262.0,no_boundary,,,,no_boundary,n/a,not_applicable_no_action,no,no,,
44/511,44,511.0,task_boundary,510.2,510.2,0.8,hit,yes,same_action_new_instance,no,yes,,
45/12,45,12.0,task_boundary,12.0,12.0,0.0,hit,yes,same_action_new_instance,uncertain,yes,,
45/61.4,45,61.4,task_boundary,62.0,62.0,-0.6,hit,yes,same_action_new_instance,no,yes,,
45/125.5,45,125.5,task_boundary,130.0,130.0,-4.5,early,no,same_action_new_instance,no,no,,
45/249.6,45,249.6,task_boundary,250.0,250.0,-0.4,hit,yes,same_action_new_instance,no,yes,,
45/434,45,434.0,task_boundary,433.0,433.0,1.0,hit,yes,same_action_new_instance,no,no,,
45/614,45,614.0,no_boundary,,,,no_boundary,n/a,same_instance,no,uncertain,,
47/51.9,47,51.9,task_boundary,52.0,52.0,-0.1,hit,yes,same_action_new_instance,partial,yes,,
47/64,47,64.0,no_boundary,,,,no_boundary,n/a,same_instance,yes,no,,
47/479,47,479.0,no_boundary,,,,no_boundary,n/a,not_applicable_no_action,no,no,,
51/157,51,157.0,no_boundary,,,,no_boundary,n/a,same_instance,no,no,,
51/432,51,432.0,task_boundary,432.0,432.0,0.0,hit,yes,same_action_new_instance,partial,partial,,
51/517,51,517.0,no_boundary,,,,no_boundary,n/a,same_instance,yes,uncertain,,
51/599.9,51,599.9,task_boundary,603.0,603.0,-3.1,early,no,same_action_new_instance,no,partial,,
51/603.2,51,603.2,task_boundary,603.0,603.0,0.2,hit,yes,same_action_new_instance,no,partial,,
52/450,52,450.0,no_boundary,,,,no_boundary,n/a,not_applicable_no_action,no,no,,
52/465,52,465.0,no_boundary,,,,no_boundary,n/a,not_applicable_no_action,no,no,,
52/536,52,536.0,task_boundary,539.0,539.0,-3.0,early,no,terminal_action_end,no,no,visible action ends/discard occurs later than candidate,
59/35.5,59,35.5,no_boundary,,,,no_boundary,n/a,not_applicable_no_action,no,no,,
59/71,59,71.0,no_boundary,,,,no_boundary,n/a,not_applicable_no_action,no,no,,
59/228,59,228.0,no_boundary,,,,no_boundary,n/a,not_applicable_no_action,no,no,,
59/402.5,59,402.5,no_boundary,,,,no_boundary,n/a,not_applicable_no_action,no,no,,
59/514,59,514.0,initial_action_start,514.0,514.0,0.0,hit,yes,initial_action_start,no,no,,
60/12,60,12.0,initial_action_start,12.8,12.8,-0.8,hit,yes,initial_action_start,uncertain,no,,
60/87,60,87.0,no_boundary,,,,no_boundary,n/a,same_instance,yes,no,,
60/113,60,113.0,no_boundary,,,,no_boundary,n/a,terminal_action_end,yes,no,,
60/253,60,253.0,no_boundary,,,,no_boundary,n/a,same_instance,no,no,human description: small table wiping,
60/328,60,328.0,task_boundary,328.0,328.0,0.0,hit,yes,same_action_new_instance,partial,no,discard supported; crumple not described,
60/570,60,570.0,no_boundary,,,,no_boundary,n/a,same_instance,no,no,,
60/602,60,602.0,no_boundary,,,,no_boundary,n/a,same_instance,yes,partial,retrieve→fold→wipe treated as one continuous hand–tissue interaction,
60/630,60,630.0,no_boundary,,,,no_boundary,n/a,same_instance,no,no,,
62/122,62,122.0,task_boundary,123.0,123.0,-1.0,hit,yes,same_action_new_instance,no,yes,,
62/463.5,62,463.5,task_boundary,464.0,464.0,-0.5,hit,yes,same_action_new_instance,partial,no,,
62/526.5,62,526.5,no_boundary,,,,no_boundary,n/a,same_instance,partial,yes,locked granularity: retrieve→fold→wipe is one continuous action instance if no reset,
70/16,70,16.0,no_boundary,,,,no_boundary,n/a,same_instance,partial,partial,,
70/29,70,29.0,no_boundary,,,,no_boundary,n/a,not_applicable_no_action,no,no,,
70/78,70,78.0,no_boundary,,,,no_boundary,n/a,same_instance,partial,yes,,
70/185,70,185.0,initial_action_start,69.0,69.0,116.0,late,no,initial_action_start,no,no,human gave onset at 69s,large_candidate_truth_gap_verify_if_intended
76/341,76,341.0,task_boundary,340.2,340.2,0.8,hit,yes,same_action_new_instance,partial,no,,
76/472,76,472.0,no_boundary,,,,no_boundary,n/a,same_instance,no,no,,
82/64.9,82,64.9,no_boundary,,,,no_boundary,n/a,not_applicable_no_action,no,no,,
83/105,83,105.0,task_boundary,105.0,105.0,0.0,hit,yes,same_action_new_instance,no,no,,
84/157,84,157.0,no_boundary,,,,no_boundary,n/a,not_applicable_no_action,no,no,,
84/549.7,84,549.7,no_boundary,,,,no_boundary,n/a,not_applicable_no_action,no,no,,
84/587,84,587.0,no_boundary,,,,no_boundary,n/a,not_applicable_no_action,no,no,,
85/98,85,98.0,no_boundary,,,,no_boundary,n/a,same_instance,no,no,,
85/330.5,85,330.5,initial_action_start,331.0,331.0,-0.5,hit,yes,initial_action_start,no,no,,
85/509.9,85,509.9,terminal_action_end,510.0,510.0,-0.1,hit,yes,terminal_action_end,no,no,,
85/640.5,85,640.5,terminal_action_end,640.0,640.0,0.5,hit,yes,terminal_action_end,no,no,,
90/6,90,6.0,initial_action_start,7.5,7.5,-1.5,early,no,initial_action_start,uncertain,no,,
90/209,90,209.0,no_boundary,,,,no_boundary,n/a,same_instance,yes,no,,
90/518,90,518.0,terminal_action_end,518.0,518.0,0.0,hit,yes,terminal_action_end,no,no,,
90/577,90,577.0,terminal_action_end,577.0,577.0,0.0,hit,yes,terminal_action_end,no,uncertain,,
93/404,93,404.0,no_boundary,,,,no_boundary,n/a,same_instance,no,no,,
93/474,93,474.0,task_boundary,477.0,477.0,-3.0,early,no,same_action_new_instance,no,no,,
93/573,93,573.0,no_boundary,,,,no_boundary,n/a,same_instance,no,no,,
93/602,93,602.0,no_boundary,,,,no_boundary,n/a,same_instance,no,no,,
94/223,94,223.0,no_boundary,,,,no_boundary,n/a,not_applicable_no_action,no,no,,
94/271,94,271.0,no_boundary,,,,no_boundary,n/a,same_instance,no,partial,occasional large table wiping at frame edge,
95/13.5,95,13.5,no_boundary,,,,no_boundary,n/a,not_applicable_no_action,no,uncertain,,
106/184,106,184.0,no_boundary,,,,no_boundary,n/a,same_instance,no,no,,
106/245,106,245.0,no_boundary,,,,no_boundary,n/a,same_instance,no,no,,
106/280,106,280.0,no_boundary,,,,no_boundary,n/a,same_instance,no,no,,
106/558,106,558.0,no_boundary,,,,no_boundary,n/a,same_instance,no,no,,
106/587.4,106,587.4,no_boundary,,,,no_boundary,n/a,same_instance,no,no,,
106/656,106,656.0,no_boundary,,,,no_boundary,n/a,terminal_action_end,no,no,"wipe stops and hands withdraw, but human marked no task boundary",
107/94,107,94.0,no_boundary,,,,no_boundary,n/a,same_instance,no,no,,
107/291,107,291.0,no_boundary,,,,no_boundary,n/a,same_instance,no,no,,
107/474,107,474.0,no_boundary,,,,no_boundary,n/a,same_instance,no,no,,
107/534,107,534.0,no_boundary,,,,no_boundary,n/a,same_instance,no,uncertain,,
107/646,107,646.0,terminal_action_end,643.6,643.6,2.4,late,no,terminal_action_end,no,uncertain,,
109/12,109,12.0,no_boundary,,,,no_boundary,n/a,not_applicable_no_action,no,uncertain,,
111/172,111,172.0,no_boundary,,,,no_boundary,n/a,same_instance,partial,no,continuous squeegee interaction,
111/421,111,421.0,no_boundary,,,,no_boundary,n/a,same_instance,yes,no,continuous squeegee interaction,
113/29,113,29.0,no_boundary,,,,no_boundary,n/a,not_applicable_no_action,no,uncertain,,
115/321,115,321.0,no_boundary,,,,no_boundary,n/a,same_instance,partial,partial,continuous squeegee interaction,
115/376,115,376.0,no_boundary,,,,no_boundary,n/a,same_instance,partial,no,continuous squeegee interaction,
115/459,115,459.0,no_boundary,,,,no_boundary,n/a,same_instance,partial,partial,pass-number change does not create boundary,
115/490.9,115,490.9,no_boundary,,,,no_boundary,n/a,same_instance,no,partial,continuous squeegee interaction,
115/650,115,650.0,no_boundary,,,,no_boundary,n/a,same_instance,no,uncertain,continuous squeegee interaction,
123/30,123,30.0,no_boundary,,,,no_boundary,n/a,not_applicable_no_action,no,uncertain,,
124/34.2,124,34.2,no_boundary,,,,no_boundary,n/a,same_instance,partial,partial,continuous notebook open-close cycles,
124/66,124,66.0,no_boundary,,,,no_boundary,n/a,same_instance,partial,partial,continuous notebook open-close cycles,
124/129,124,129.0,no_boundary,,,,no_boundary,n/a,same_instance,partial,partial,continuous notebook open-close cycles,
124/200.5,124,200.5,no_boundary,,,,no_boundary,n/a,same_instance,yes,yes,continuous notebook open-close cycles,
124/238,124,238.0,no_boundary,,,,no_boundary,n/a,same_instance,yes,yes,continuous notebook open-close cycles,
