audit_key,event_id,recording_id,candidate_time,previous_segment_label,containing_segment_label,next_segment_label,claim_support,granularity,major_action_missing,action_presence,segment_structure,upstream_timing_issue,actual_action_summary,existing_label_summary,human_boundary_note,semantic_audit_note
,,,,,,,"yes / partial / no / uncertain -- about THIS segment as the model saw it. A wrong upstream cut is recorded in upstream_timing_issue, it does not excuse a wrong label.",adequate / too_coarse / too_fine / mixed_inconsistent / not_applicable / uncertain,yes / no / uncertain,valid_action / no_valid_action / mixed_action_and_no_action / onset_only / terminal_only / uncertain,adequate / oversegmented / undersegmented / mixed / spurious_no_action / uncertain,yes / no / uncertain,what the video actually shows,what the stored labels claim,"boundary times, if any are worth recording",anything else
193/t264.2,recording_000193_missed_signal_present_not_top_t264.2,recording_000193,264.2,,,Telescopic rod extend-retract cycle,,,,,,,,,,
22/t240.0,recording_000022_false_mid_segment_t240.0,recording_000022,240.0,Shake water off hands,Grasp mug for repositioning,Scrub mug interior,,,,,,,,,,
385/t412.5,recording_000385_false_mid_segment_t412.5,recording_000385,412.5,Secure wrap around bowl rim,Inspect and adjust covered bowl,Fold and press plastic wrap to seal,,,,,,,,,,
272/t320.0,recording_000272_false_mid_segment_t320.0,recording_000272,320.0,Remove USB drive from cardboard box,Flatten empty box and stow in plastic bag,Retrieve and reshape cardboard box,,,,,,,,,,
102/t164.0,recording_000102_early_t164.0,recording_000102,164.0,Fold and crease sheet edge,,Fold and crease sheet edge,,,,,,,,,,
102/t471.5,recording_000102_duplicate_t471.5,recording_000102,471.5,fold and unfold tissue,fold and unfold tissue,fold and unfold tissue,,,,,,,,,,
102/t439.0,recording_000102_false_mid_segment_t439.0,recording_000102,439.0,fold and unfold tissue,fold and unfold tissue,fold and unfold tissue,,,,,,,,,,
105/t505.5,recording_000105_false_gap_t505.5,recording_000105,505.5,Crumple and discard a tissue,,Discard folded tissue,,,,,,,,,,
385/t266.5,recording_000385_false_mid_segment_t266.5,recording_000385,266.5,Crumple removed plastic wrap,Unroll plastic wrap over bowl,Smooth plastic wrap on bowl,,,,,,,,,,
385/t348.0,recording_000385_false_gap_t348.0,recording_000385,348.0,Smooth plastic wrap on bowl,,Smooth plastic wrap on bowl top,,,,,,,,,,
86/t530.5,recording_000086_duplicate_t530.5,recording_000086,530.5,Fold a disposable mask,Fold a disposable mask,Fold a disposable mask,,,,,,,,,,
80/t478.5,recording_000080_early_t478.5,recording_000080,478.5,,,Wipe table with paper towel and discard used towel,,,,,,,,,,
385/t209.0,recording_000385_false_mid_segment_t209.0,recording_000385,209.0,Smooth plastic wrap on the bowl's top surface,Fold and seal plastic wrap around the bowl rim,Crumple removed plastic wrap,,,,,,,,,,
80/t559.5,recording_000080_late_t559.5,recording_000080,559.5,,,Fold and discard a paper tissue,,,,,,,,,,
242/t164.5,recording_000242_missed_signal_present_not_top_t164.5,recording_000242,164.5,Open box flaps for third inspection,,Inspect box interior third time,,,,,,,,,,
105/t582.0,recording_000105_missed_signal_present_not_top_t582.0,recording_000105,582.0,8th tissue fold and press,,9th tissue fold and press,,,,,,,,,,
272/t265.9,recording_000272_missed_signal_present_not_top_t265.9,recording_000272,265.9,,,Seal box end with tape,,,,,,,,,,
105/t501.5,recording_000105_false_gap_t501.5,recording_000105,501.5,Crumple and discard a tissue,,Discard folded tissue,,,,,,,,,,
465/t166.5,recording_000465_false_mid_segment_t166.5,recording_000465,166.5,Test charging cable with phone,Store charging cable in drawer,Retrieve charging cable from drawer,,,,,,,,,,
236/t102.0,recording_000236_missed_signal_present_not_top_t102.0,recording_000236,102.0,Open untaped cardboard box,,Seal cardboard box with adhesive tape,,,,,,,,,,
242/t29.5,recording_000242_false_near_edge_t29.5,recording_000242,29.5,Relocate black plastic bag,Seal cardboard box with tape (first),Reopen and inspect cardboard box,,,,,,,,,,
102/t23.5,recording_000102_missed_weak_signal_t23.5,recording_000102,23.5,Second fold and press tissue,,Third fold and press tissue,,,,,,,,,,
80/t113.0,recording_000080_early_t113.0,recording_000080,113.0,,,Wipe table and dispose of used tissue,,,,,,,,,,
181/t564.0,recording_000181_false_near_edge_t564.0,recording_000181,564.0,Clean and re-seat sink strainer,Clean sink drain strainer and wipe sink basin,Clean sink drain strainer and wipe sink basin,,,,,,,,,,
105/t72.0,recording_000105_missed_weak_signal_t72.0,recording_000105,72.0,Paper fold-unfold cycle,,Paper fold-unfold cycle,,,,,,,,,,
150/t234.5,recording_000150_duplicate_t234.5,recording_000150,234.5,Flip black rectangular object to opposite side,Flip black rectangular object to opposite side,Flip black rectangular object to opposite side,,,,,,,,,,
343/t400.5,recording_000343_false_mid_segment_t400.5,recording_000343,400.5,Apply liquid coating to pan with brush,Apply liquid coating to pan with brush,Apply liquid coating to pan with brush,,,,,,,,,,
419/t618.0,recording_000419_false_mid_segment_t618.0,recording_000419,618.0,Crumple used plastic wrap,Apply new plastic wrap to bowl,Wrapping bowl with plastic wrap,,,,,,,,,,
406/t571.0,recording_000406_duplicate_t571.0,recording_000406,571.0,Place plastic wrap over bowl and smooth,Seal plastic wrap around bowl rim,Crumple and discard used plastic wrap,,,,,,,,,,
220/t586.4,recording_000220_missed_weak_signal_t586.4,recording_000220,586.4,Display upper side of slippers,,Display insole side of slippers,,,,,,,,,,
438/t476.0,recording_000438_false_mid_segment_t476.0,recording_000438,476.0,Wrapping bowl with plastic wrap from roll,Unroll plastic wrap from roll and position over bowl,Secure plastic wrap around bowl,,,,,,,,,,
220/t153.0,recording_000220_false_mid_segment_t153.0,recording_000220,153.0,Slipper pair flip cycle,Slipper pair flip cycle,Slipper pair flip cycle,,,,,,,,,,
419/t605.5,recording_000419_false_mid_segment_t605.5,recording_000419,605.5,Crumple used plastic wrap,Apply new plastic wrap to bowl,Wrapping bowl with plastic wrap,,,,,,,,,,
150/t34.0,recording_000150_missed_signal_present_not_top_t34.0,recording_000150,34.0,Flip remote control to opposite side,,Flip remote control to opposite side,,,,,,,,,,
388/t618.0,recording_000388_false_mid_segment_t618.0,recording_000388,618.0,Adjust bowl and prepare plastic wrap roll,Unroll plastic wrap to required length,Place and smooth plastic wrap over the bowl,,,,,,,,,,
388/t124.5,recording_000388_false_mid_segment_t124.5,recording_000388,124.5,Remove and discard plastic wrap from bowl,Unroll plastic wrap from roll,Fold and tuck plastic wrap around bowl sides to seal,,,,,,,,,,
343/t274.5,recording_000343_false_mid_segment_t274.5,recording_000343,274.5,Coat pan with liquid using spatula,Coat pan with liquid using spatula,Coat pan with liquid using spatula,,,,,,,,,,
406/t595.5,recording_000406_false_mid_segment_t595.5,recording_000406,595.5,Place plastic wrap over bowl and smooth,Seal plastic wrap around bowl rim,Crumple and discard used plastic wrap,,,,,,,,,,
422/t620.8,recording_000422_missed_signal_present_not_top_t620.8,recording_000422,620.8,Picking up plastic wrap roll,,Positioning unrolled plastic film over a bowl on a table,,,,,,,,,,
