event_id,old_status,has_containing_label,neighbour_labels_near_duplicate,label_completeness,label_granularity,label_support,corrected_primary_verb,corrected_object,corrected_secondary_verbs
recording_000343_false_mid_segment_t547.0,correct_but_oversegmented,True,False,complete,too_fine,supported,coat,pan,none
recording_000406_false_mid_segment_t29.5,correct_but_oversegmented,True,False,complete,too_fine,supported,cover,plastic wrap,secure; seal
recording_000213_false_gap_t242.5,correct_but_coarse,False,False,missing_secondary,too_coarse,supported,rinse,sink strainer,remove; reach faucet
recording_000061_exact_t590.0,uncertain,False,False,unresolved,unresolved,uncertain,,,
recording_000388_false_mid_segment_t67.5,correct_but_coarse,True,False,missing_secondary,too_coarse,supported,cover,plastic wrap,discard; remove
recording_000327_false_near_edge_t386.5,uncertain,True,True,unresolved,unresolved,uncertain,coat,pan,none
recording_000406_missed_weak_signal_t556.6,correct_but_oversegmented,False,False,complete,too_fine,supported,unroll,plastic wrap,retrieve
recording_000102_missed_weak_signal_t95.0,incorrect,False,True,incorrect,not_applicable,contradicted,wipe,tissue / paper sheet,change from lateral strokes to small circles
recording_000250_exact_t629.5,partially_correct,False,False,partially_correct,mixed,supported,seal,keychain,insert
recording_000388_missed_signal_present_not_top_t601.8,incorrect,False,False,wrong_object,not_applicable,contradicted,discard,plastic wrap,crumple; secure; remove; manipulate
recording_000343_false_near_edge_t222.5,correct,True,True,complete,appropriate,supported,coat,pan,none
recording_000431_missed_signal_present_not_top_t178.2,correct,False,False,complete,appropriate,supported,secure,plastic wrap,remove
recording_000037_early_t156.0,correct_but_coarse,False,False,missing_secondary,too_coarse,supported,rinse,mug,turn off faucet; continue rinsing
recording_000236_missed_signal_present_not_top_t572.8,incorrect,False,False,incorrect,not_applicable,contradicted,discard,cardboard box,close
recording_000134_false_near_edge_t562.5,incorrect,True,True,wrong_object,not_applicable,contradicted,unfold,second tissue sheet,reach; pick up
recording_000230_missed_signal_present_not_top_t397.0,correct,False,False,complete,appropriate,supported,retrieve,cardboard box,store; disassemble
