audit_key,recording_id,candidate_time,task_timing_status,human_boundary_points_json,human_boundary_intervals_json,onset_from_idle,no_task_boundary,timing_note
22/t240,recording_000022,240.0,onset_only,[238.0],[],yes,no,idle -> grasp mug / fill / scrub interior / pour out; user says real boundary 238
80/t113,recording_000080,113.0,point,[111.7],[],no,no,boundary between repeated wipe-and-discard task instances
80/t478.5,recording_000080,478.5,point,[479.0],[],no,no,boundary between repeated wipe-and-discard task instances
80/t559.5,recording_000080,559.5,point,[559.0],[],no,no,boundary into next tissue/wipe instance
86/t530.5,recording_000086,530.5,onset_only,[535.0],[],yes,no,mostly no valid action; new tissue retrieval starts at 535
102/t471.5,recording_000102,471.5,no_task_boundary,[],[],no,yes,continuous small wiping; no interruption or action change
102/t164,recording_000102,164.0,point,[165.0],[],no,no,user-marked transition from large wiping motion to small wiping motion
102/t439,recording_000102,439.0,point,[441.0],[],no,no,user-marked transition from large wiping motion to small wiping motion
102/t23.5,recording_000102,23.5,no_task_boundary,[],[],no,yes,continuous large wiping; no action change
105/t501.5,recording_000105,501.5,multiple_points,"[473.0, 495.0, 516.0, 528.0, 539.0, 550.0]",[],no,no,multiple user-marked task transitions across the audited span
105/t505.5,recording_000105,505.5,multiple_points,"[473.0, 495.0, 516.0, 528.0, 539.0, 550.0]",[],no,no,same overlapping audited span as 105/t501.5; preserve event-level provenance
105/t582,recording_000105,582.0,point,[582.0],[],no,no,user-marked real boundary at 582
105/t72,recording_000105,72.0,no_task_boundary,[],[],no,yes,continuous small wiping; no interruption or action change
150/t234.5,recording_000150,234.5,no_task_boundary,[],[],no,yes,continuous remote flip back-and-forth; no task-level change
150/t34,recording_000150,34.0,no_task_boundary,[],[],no,yes,continuous remote flip back-and-forth; current audit says no task-level boundary
181/t564,recording_000181,564.0,multiple_mixed,[],"[[544.0, 552.0], [563.0, 566.0], [575.0, 579.0]]",no,no,three release/reset transition intervals between repeated rinse-and-seat instances
193/t264,recording_000193,264.0,no_task_boundary,[],[],no,yes,continuous antenna extend-retract cycle; no interruption or action change
