event_id,instance_relation,transition_shape,relation_source,shape_source,evidence,detail
recording_000001_batch3_gt_boundary_t412.8,cannot_determine,not_observable,double_48,double_48,关键动作不在画面里，无法判断该候选处是否存在可见 transition。,call=cannot prose=cannot_determine resolved_by=call
recording_000002_batch3_raw_change_peak_t602.0,same_instance,not_applicable,double_48,double_48,同一个动作：打开塑料箱子盖子再合上。,call=same prose=UNKNOWN resolved_by=call
recording_000005_batch3_gt_boundary_t104.0,UNKNOWN,UNKNOWN,,,,
recording_000005_batch3_raw_change_peak_t30.0,cannot_determine,point,relation_audit_54,legacy:batch3_pair_labels_v1_relabel_v1.csv,大部分时间双手不在画面中；candidate附近只能看到双手伸向拖鞋，前后动作关系无法可靠确定。,confidence=3_sure
recording_000005_batch3_raw_change_peak_t372.0,initial_action_start,UNKNOWN,relation_audit_54,,candidate前持续idle/无动作，candidate后右手开始新的拖鞋交互；这是从inactive状态进入第一个动作实例，属于initial_action_start。,confidence=3_sure
recording_000005_batch3_raw_change_peak_t513.0,same_action_new_instance,UNKNOWN,relation_audit_54,,一次双手放入/取回拖鞋的实例完成后视线/交互重置，随后再次开始同样的双手放入拖鞋动作。,confidence=3_sure
recording_000006_batch3_gt_boundary_t229.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000006_batch3_gt_boundary_t77.3,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000006_batch3_raw_change_peak_t393.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,扫帚把垃圾扫进簸箕；下一阶段左手持簸箕把垃圾倒在地上，再由右手扫回簸箕。倒出前约0.5s滞空，存在短过渡区间。,call=interval prose=UNKNOWN resolved_by=prose
recording_000006_batch3_raw_change_peak_t468.0,same_action_new_instance,gap,double_48,double_48,重复扫入簸箕→倒出→再扫入的循环；倒出垃圾前约0.5s滞空，两个动作之间有短过渡区间。,call=interval prose=same_action_new_instance resolved_by=prose
recording_000007_batch3_gt_boundary_t345.7,cannot_determine,not_observable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000008_batch3_gt_boundary_t163.0,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,扫帚把垃圾扫进簸箕；下一阶段左手持簸箕把垃圾倒在地上，再由右手扫回簸箕。倒出前约0.5s滞空，存在短过渡区间。,call=interval prose=UNKNOWN resolved_by=prose
recording_000008_batch3_gt_boundary_t650.1,same_instance,not_applicable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000008_batch3_raw_change_peak_t271.0,cannot_determine,not_observable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
recording_000009_batch3_raw_change_peak_t314.0,cannot_determine,not_observable,legacy:batch3_pair_labels_v1_relabel_v1.csv,legacy:batch3_pair_labels_v1_relabel_v1.csv,,
