event_id,recording_id,candidate_time_s,instance_relation,previous_segment_label,containing_segment_label,next_segment_label,t1_disagree_with_relation,t2_boundary_time_s,t3_interval_start_s,t4_interval_end_s,t5_candidate_verdict,t6_notes
,,,,,,,"The recorded instance_relation is shown. Leave blank if you agree. If you disagree, write what you would call it -- do NOT express a disagreement by leaving the time blank.","The time of the boundary, in seconds. One number if it is an instant. Write `cannot_localize` if there is no single instant.","If the transition occupies an interval, its start. Leave both interval fields blank for an instant.",...and its end.,"About the CANDIDATE time shown, not the boundary: keep / move / duplicate_of_another_candidate / no_single_time","Anything else, including why a field was unanswerable."
recording_000209_batch3_gt_boundary_t257.0,recording_000209,257.0,same_action_new_instance,,,,,,,,,
recording_000029_batch3_raw_change_peak_t442.0,recording_000029,442.0,same_action_new_instance,,,,,,,,,
recording_000050_batch3_gt_boundary_t291.5,recording_000050,291.5,new_action,,,,,,,,,
recording_000005_batch3_raw_change_peak_t513.0,recording_000005,513.0,same_action_new_instance,,,,,,,,,
recording_000145_batch3_gt_boundary_t558.0,recording_000145,558.0,new_action,,,,,,,,,
recording_000135_batch3_gt_boundary_t559.0,recording_000135,559.0,new_action,,,,,,,,,
recording_000048_batch3_raw_change_peak_t96.0,recording_000048,96.0,new_action,,,,,,,,,
recording_000024_batch3_raw_change_peak_t584.0,recording_000024,584.0,same_action_new_instance,,,,,,,,,
recording_000067_batch3_gt_boundary_t440.5,recording_000067,440.5,new_action,,,,,,,,,
recording_000137_batch3_raw_change_peak_t299.0,recording_000137,299.0,new_action,,,,,,,,,
recording_000033_batch3_raw_change_peak_t566.0,recording_000033,566.0,same_action_new_instance,,,,,,,,,
recording_000023_batch3_raw_change_peak_t333.0,recording_000023,333.0,same_action_new_instance,,,,,,,,,
recording_000020_batch3_raw_change_peak_t67.0,recording_000020,67.0,new_action,,,,,,,,,
recording_000006_batch3_raw_change_peak_t468.0,recording_000006,468.0,same_action_new_instance,,,,,,,,,
recording_000170_batch3_gt_boundary_t634.0,recording_000170,634.0,same_action_new_instance,,,,,,,,,
recording_000049_batch3_raw_change_peak_t325.0,recording_000049,325.0,same_action_new_instance,,,,,,,,,
recording_000027_batch3_gt_boundary_t541.0,recording_000027,541.0,same_action_new_instance,,,,,,,,,
recording_000170_batch3_gt_boundary_t659.4,recording_000170,659.4,same_action_new_instance,,,,,,,,,
recording_000169_batch3_gt_boundary_t350.0,recording_000169,350.0,same_action_new_instance,,,,,,,,,
recording_000218_batch3_raw_change_peak_t366.0,recording_000218,366.0,same_action_new_instance,,,,,,,,,
recording_000179_batch3_raw_change_peak_t324.0,recording_000179,324.0,same_action_new_instance,,,,,,,,,
recording_000201_batch3_raw_change_peak_t498.0,recording_000201,498.0,same_action_new_instance,,,,,,,,,
recording_000212_batch3_gt_boundary_t502.2,recording_000212,502.2,new_action,,,,,,,,,
recording_000058_batch3_raw_change_peak_t585.0,recording_000058,585.0,new_action,,,,,,,,,
recording_000035_batch3_raw_change_peak_t351.0,recording_000035,351.0,same_action_new_instance,,,,,,,,,
recording_000025_batch3_gt_boundary_t516.0,recording_000025,516.0,same_action_new_instance,,,,,,,,,
recording_000019_batch3_gt_boundary_t9.5,recording_000019,9.5,same_action_new_instance,,,,,,,,,
recording_000013_batch3_gt_boundary_t516.0,recording_000013,516.0,same_action_new_instance,,,,,,,,,
recording_000218_batch3_gt_boundary_t123.1,recording_000218,123.1,same_action_new_instance,,,,,,,,,
recording_000019_batch3_gt_boundary_t112.5,recording_000019,112.5,same_action_new_instance,,,,,,,,,
recording_000026_batch3_raw_change_peak_t206.0,recording_000026,206.0,same_action_new_instance,,,,,,,,,
recording_000025_batch3_gt_boundary_t413.5,recording_000025,413.5,same_action_new_instance,,,,,,,,,
recording_000049_batch3_gt_boundary_t94.5,recording_000049,94.5,same_action_new_instance,,,,,,,,,
recording_000035_batch3_gt_boundary_t473.0,recording_000035,473.0,same_action_new_instance,,,,,,,,,
recording_000140_batch3_raw_change_peak_t574.0,recording_000140,574.0,new_action,,,,,,,,,
recording_000180_batch3_gt_boundary_t392.5,recording_000180,392.5,same_action_new_instance,,,,,,,,,
recording_000104_batch3_gt_boundary_t392.0,recording_000104,392.0,same_action_new_instance,,,,,,,,,
recording_000156_batch3_gt_boundary_t254.0,recording_000156,254.0,new_action,,,,,,,,,
recording_000197_batch3_raw_change_peak_t32.0,recording_000197,32.0,new_action,,,,,,,,,
recording_000201_batch3_gt_boundary_t132.1,recording_000201,132.1,same_action_new_instance,,,,,,,,,
recording_000050_batch3_raw_change_peak_t104.0,recording_000050,104.0,new_action,,,,,,,,,
recording_000011_batch3_raw_change_peak_t352.0,recording_000011,352.0,same_action_new_instance,,,,,,,,,
recording_000157_batch3_raw_change_peak_t632.0,recording_000157,632.0,new_action,,,,,,,,,
recording_000152_batch3_gt_boundary_t9.5,recording_000152,9.5,same_action_new_instance,,,,,,,,,
