stored_label,occurrences,draft_actions,draft_entities,draft_temporal,parser_flags,corrected_actions,corrected_entities,corrected_temporal,note
,,,,,,"verb(object)[qualifiers], one per action",name only,"before(a1,a2) / none",why the draft was wrong
fold and unfold tissue,8,fold(e1) ; unfold(e1),e1=tissue,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:unfold",,,,
Apply liquid to pan and spread with brush,7,apply(e1) ; spread(e1)[{'instrument': 'brush'}],e1=liquid pan,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:apply",,,,
Apply liquid to pan with brush,6,apply(e1)[{'instrument': 'brush'}],e1=liquid pan,,unknown_verbs:apply,,,,
Slipper pair flip cycle,5,slipper(e1),e1=pair flip cycle,,"verb_position_uncertain,unknown_verbs:slipper",,,,
Fold and crease sheet edge,5,fold(e1) ; crease(e1)[{'region': 'edge'}],e1=sheet,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Clean sink drain strainer,4,clean(e1),e1=sink drain strainer,,,,,,
Rinse and re-seat sink strainer,4,rinse(e1) ; seat(e1),e1=sink strainer,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:seat",,,,
Fold one tissue sheet and stack it,4,fold(e1) ; stack(e1),e1=one tissue sheet,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Apply liquid layer to pan interior,4,apply(e1)[{'region': 'interior'}],e1=liquid layer pan,,unknown_verbs:apply,,,,
Remove and discard plastic wrap from bowl,4,remove(e1) ; discard(e1),e1=plastic wrap bowl,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:discard",,,,
Crumple removed plastic wrap,4,crumple(e1),e1=removed plastic wrap,,unknown_verbs:crumple,,,,
Scrub mug interior,3,scrub(e1)[{'region': 'interior'}],e1=mug,,,,,,
Flip remote control to opposite side,3,flip(e1)[{'region': 'side'}],e1=remote control opposite,,,,,,
Rinse sink strainer,3,rinse(e1),e1=sink strainer,,,,,,
Rinse and reseat sink drain strainer,3,rinse(e1) ; reseat(e1),e1=sink drain strainer,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:reseat",,,,
Clean and reinstall sink strainer,3,clean(e1) ; reinstall(e1),e1=sink strainer,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:reinstall",,,,
Inspect both sides of remote control,3,inspect(e1),e1=both sides remote control,,,,,,
Rinse and seat sink strainer,3,rinse(e1) ; seat(e1),e1=sink strainer,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:seat",,,,
Fold a disposable mask,3,fold(e1),e1=disposable mask,,,,,,
Flip black rectangular object to opposite side,3,flip(e1)[{'region': 'side'}],e1=black rectangular object opposite,,,,,,
Wrap bowl with plastic wrap,3,wrap(e1)[{'instrument': 'plastic wrap'}],e1=bowl,,unknown_verbs:wrap,,,,
Position bowl and cover with wrap,3,position(e1) ; cover(e1)[{'instrument': 'wrap'}],e1=bowl,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Secure plastic wrap around bowl,3,secure(e1),e1=plastic wrap around bowl,,,,,,
Apply liquid coating to pan with brush,3,apply(e1)[{'instrument': 'brush'}],e1=liquid coating pan,,unknown_verbs:apply,,,,
Unroll and tear plastic wrap sheet,3,unroll(e1) ; tear(e1),e1=plastic wrap sheet,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:unroll",,,,
Coat pan with liquid using spatula,3,coat(e1)[{'instrument': 'liquid using spatula'}],e1=pan,,unknown_verbs:coat,,,,
Retrieve cable from drawer,3,retrieve(e1),e1=cable drawer,,,,,,
Add liquid from bottle to pan,3,add(e1),e1=liquid bottle pan,,unknown_verbs:add,,,,
Inspect first portable charger,2,inspect(e1),e1=portable charger,,,,,,
Paper fold-unfold cycle,2,paper(e1),e1=fold unfold cycle,,"verb_position_uncertain,unknown_verbs:paper",,,,
Fold and unfold a paper sheet,2,fold(e1) ; unfold(e1),e1=paper sheet,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:unfold",,,,
Display upper side of slippers,2,display(e1)[{'region': 'upper side'}],e1=slippers,,unknown_verbs:display,,,,
"Remove, rinse and reseat sink strainer",2,remove(e1) ; rinse(e1) ; reseat(e1),e1=sink strainer,"before(a1,a2):inferred ; before(a2,a3):inferred","object_inherited,order_inferred_from_and,unknown_verbs:reseat",,,,
Cleaning countertop with squeegee,2,cleaning(e1)[{'instrument': 'squeegee'}],e1=countertop,,unknown_verbs:cleaning,,,,
Clean sink drain strainer and wipe sink basin,2,clean(e1) ; wipe(e2),e1=sink drain strainer ; e2=sink basin,"before(a1,a2):inferred",order_inferred_from_and,,,,
Sink strainer cleaning cycle,2,sink(e1),e1=strainer cleaning cycle,,unknown_verbs:sink,,,,
Wipe table and discard used tissue,2,wipe(e1) ; discard(e2),e1=table ; e2=used tissue,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:discard",,,,
Reposition water bottle on table,2,reposition(e1),e1=water bottle table,,,,,,
Clean and replace sink drain strainer,2,clean(e1) ; replace(e1),e1=sink drain strainer,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Crumple and discard a tissue,2,crumple(e1) ; discard(e1),e1=tissue,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:crumple/discard",,,,
Discard folded tissue,2,discard(e1),e1=folded tissue,,unknown_verbs:discard,,,,
Rinse mug under running water,2,rinse(e1),e1=mug under running water,,,,,,
Remove box from plastic bag,2,remove(e1),e1=box plastic bag,,,,,,
Seal box top with tape,2,"seal(e1)[{'region': 'top', 'instrument': 'tape'}]",e1=box,,,,,,
Insert U-disk into the box,2,insert(e1),e1=u disk box,,,,,,
Close cardboard box top flaps,2,close(e1)[{'region': 'top'}],e1=cardboard box flaps,,,,,,
Seal cardboard box with tape,2,seal(e1)[{'instrument': 'tape'}],e1=cardboard box,,,,,,
Pour liquid and spread in pan with brush,2,pour(e1) ; spread(e2)[{'instrument': 'brush'}],e1=liquid ; e2=pan,"before(a1,a2):inferred",order_inferred_from_and,,,,
Removing plastic wrap from a bowl,2,removing(e1),e1=plastic wrap bowl,,unknown_verbs:removing,,,,
Covering a bowl with plastic wrap,2,covering(e1)[{'instrument': 'plastic wrap'}],e1=bowl,,unknown_verbs:covering,,,,
Fold and press plastic wrap to seal,2,fold(e1) ; press(e1),e1=plastic wrap seal,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Apply new plastic wrap to bowl,2,apply(e1),e1=new plastic wrap bowl,,unknown_verbs:apply,,,,
Crumple used plastic wrap,2,crumple(e1),e1=used plastic wrap,,unknown_verbs:crumple,,,,
Wrapping bowl with plastic wrap,2,wrapping(e1)[{'instrument': 'plastic wrap'}],e1=bowl,,unknown_verbs:wrapping,,,,
Disassemble and store cardboard box,2,disassemble(e1) ; store(e1),e1=cardboard box,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:disassemble",,,,
