event_id,recording_id,candidate_time_s,previous_segment_label,containing_segment_label,next_segment_label,clip_path,contact_sheet_path,q1_video_shows,q2_label_referent,q3_clearly_right,q4_clearly_wrong,q5_missing,q6_too_coarse,q7_phases,q8_notes
,,,,,,,,"What does the video actually show in this window? Plain description of the action, the object, and anything that changes.","WHICH label are you judging? containing / previous / next / both / cannot tell. If the candidate sits between two segments, say which one the question is even about.",Which parts of that label are clearly supported by the video?,Which parts are clearly NOT supported? Say `none` if every stated part holds.,Is a significant action visible that the label does not mention?,Is the label accurate but lumping together things that deserve separate description?,"Does the segment contain more than one phase, and if so, is splitting it a real semantic difference or the same action repeated?","Anything else, including why a question was unanswerable."
recording_000343_false_mid_segment_t547.0,recording_000343,547.0,Apply liquid to pan with brush and bottle,Pan liquid application cycle,Pan liquid application cycle,/workspace/tr1/results/hal/batch2_media/media/recording_000343_false_mid_segment_t547.0.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000343_false_mid_segment_t547.0_contact_sheet.png,,,,,,,,
recording_000406_false_mid_segment_t29.5,recording_000406,29.5,Prepare plastic wrap roll,Drape plastic wrap over the bowl,Seal plastic wrap around the bowl,/workspace/tr1/results/hal/batch2_media/media/recording_000406_false_mid_segment_t29.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000406_false_mid_segment_t29.5_contact_sheet.png,,,,,,,,
recording_000213_false_gap_t242.5,recording_000213,242.5,Rinse and seat sink strainer,,Clean and replace sink drain strainer,/workspace/tr1/results/boundary/error_audit/media/recording_000213_false_gap_t242.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000213_false_gap_t242.5_contact_sheet.png,,,,,,,,
recording_000061_exact_t590.0,recording_000061,590.0,Bottle manipulation over bowl,,,/workspace/tr1/results/boundary/error_audit/media/recording_000061_exact_t590.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000061_exact_t590.0_contact_sheet.png,,,,,,,,
recording_000388_false_mid_segment_t67.5,recording_000388,67.5,,Cover bowl with plastic wrap,Remove and discard plastic wrap from bowl,/workspace/tr1/results/hal/batch2_media/media/recording_000388_false_mid_segment_t67.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000388_false_mid_segment_t67.5_contact_sheet.png,,,,,,,,
recording_000327_false_near_edge_t386.5,recording_000327,386.5,Apply liquid to pan and spread with brush,Apply liquid to pan and spread with brush,Apply liquid to pan and spread with brush,/workspace/tr1/results/hal/batch2_media/media/recording_000327_false_near_edge_t386.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000327_false_near_edge_t386.5_contact_sheet.png,,,,,,,,
recording_000406_missed_weak_signal_t556.6,recording_000406,556.6,Pick up plastic wrap roll and locate edge,,Unroll a sheet of plastic wrap,/workspace/tr1/results/hal/batch2_media/media/recording_000406_missed_weak_signal_t556.6.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000406_missed_weak_signal_t556.6_contact_sheet.png,,,,,,,,
recording_000102_missed_weak_signal_t95.0,recording_000102,95.0,Fold and unfold a paper sheet,,Fold and unfold a paper sheet,/workspace/tr1/results/boundary/error_audit/media/recording_000102_missed_weak_signal_t95.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000102_missed_weak_signal_t95.0_contact_sheet.png,,,,,,,,
recording_000250_exact_t629.5,recording_000250,629.5,Place keychain into box,,Seal box top with tape,/workspace/tr1/results/hal/batch2_media/media/recording_000250_exact_t629.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000250_exact_t629.5_contact_sheet.png,,,,,,,,
