event_id,recording_id,category,gt_time,Matched pred_time,pred_score,offset,prev_segment_label,next_segment_label,containing_segment_label,nearest_previous_segment_label,nearest_next_segment_label,nearest_gt_boundary_time,distance_to_nearest_gt,clip_path,contact_sheet_path,score_plot_path,primary_error_type,secondary_error_type,visual_evidence_present,notes,gt_label_quality,boundary_status,corrected_boundary_time,semantic_label_status,corrected_primary_verb,corrected_secondary_verbs,corrected_object,assigned_corrected_relation,contrastive_role,review_confidence
recording_000022_missed_signal_present_not_top_t366.5,recording_000022,missed_signal_present_not_top,366.5,,0.324,,Initiate additional mug rinse,Scrub mug interior,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000022_missed_signal_present_not_top_t366.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000022_missed_signal_present_not_top_t366.5_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000022_missed_signal_present_not_top_t366.5_score_plot.png,model_localization_error,early_trigger,yes,"OBS: A clear response peak is present around 364.5 s, approximately 2 s before the annotated boundary at 366.5 s. The probability then decreases steadily before reaching the GT timestamp.

JUDGMENT: The model detects the ongoing transition but localizes the boundary too early. No matched prediction falls within the evaluation tolerance.

CAUSE: Early activation during a gradual transition, resulting in localization error rather than complete detection failure.",supported,valid_gt_model_mislocalized,366.5,correct,scrub,finish additional rinse,mug,gt_valid_pred_mislocalized,boundary_positive,medium
recording_000150_missed_signal_present_not_top_t34.0,recording_000150,missed_signal_present_not_top,34,,0.218,,Flip remote control to opposite side,Flip remote control to opposite side,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000150_missed_signal_present_not_top_t34.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000150_missed_signal_present_not_top_t34.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000150_missed_signal_present_not_top_t34.0_score_plot.png,annotation_error,spurious_boundary,no,"The GT at 34.0 s falls inside a higher-level remote-flip task rather than at a distinct action boundary. The visible sequence contains separate flips around the surrounding times, so the model's low response at 34.0 s is reasonable.",misaligned,spurious_gt_boundary,33.3; 34.9,correct_but_oversegmented,flip,hold; inspect,remote control,gt_spurious_between_two_true_boundaries,boundary_motion_hard_negative,high
recording_000188_missed_signal_present_not_top_t25.0,recording_000188,missed_signal_present_not_top,25,,0.067,,Remove wrapped device from first product box,Unwrap first portable charger from protective packaging,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000188_missed_signal_present_not_top_t25.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000188_missed_signal_present_not_top_t25.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000188_missed_signal_present_not_top_t25.0_score_plot.png,model_detection_failure,weak_signal,yes,A valid but visually subtle transition occurs from removing the wrapped charger from the box to beginning to unwrap its protective packaging. The model remains at a very low score and does not form a usable peak.,supported,valid_gt_model_weak_signal,25,correct,unwrap,remove from box,portable charger,gt_valid_pred_weak,boundary_positive,high
recording_000188_missed_signal_present_not_top_t39.0,recording_000188,missed_signal_present_not_top,39,,0.028,,Inspect first portable charger,Repack first portable charger and close product box,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000188_missed_signal_present_not_top_t39.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000188_missed_signal_present_not_top_t39.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000188_missed_signal_present_not_top_t39.0_score_plot.png,model_detection_failure,weak_signal,yes,A valid transition occurs from inspecting the first portable charger to beginning to repack it. The model produces only a weak delayed response and no usable boundary peak.,supported,valid_gt_model_weak_signal,39,correct,repack,inspect; place in protective packaging,portable charger,gt_valid_pred_weak,boundary_positive,high
recording_000176_missed_signal_present_not_top_t188.5,recording_000176,missed_signal_present_not_top,188.5,,0.099,,Rinse sink strainer,Install sink strainer into drain,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000176_missed_signal_present_not_top_t188.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000176_missed_signal_present_not_top_t188.5_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000176_missed_signal_present_not_top_t188.5_score_plot.png,model_detection_failure,weak_signal,yes,"The participant finishes rinsing the sink strainer, leaves or turns off the faucet, and moves the strainer toward the drain for installation. The model responds weakly but not strongly enough to select a boundary.",supported,valid_gt_model_weak_signal,188.5,correct,install,finish rinsing; turn off or leave faucet,sink strainer,gt_valid_pred_weak,boundary_positive,high
recording_000046_missed_signal_present_not_top_t378.7,recording_000046,missed_signal_present_not_top,378.7,,0.14,,Retrieving sheet from pack,Folding sheet,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000046_missed_signal_present_not_top_t378.7.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000046_missed_signal_present_not_top_t378.7_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000046_missed_signal_present_not_top_t378.7_score_plot.png,model_localization_error,outside_matching_tolerance,yes,"The model detects a strong visual change before the annotated boundary, corresponding to retrieving/removing the sheet from the pack rather than the transition into folding. The response peak occurs approximately 2 seconds before the GT boundary and no comparable peak appears near the annotated transition. This indicates a localization failure where the model focuses on an earlier motion event.",supported,valid_gt_model_mislocalized,378.7,correct,fold,finish retrieving,paper sheet,gt_valid_pred_mislocalized,boundary_positive,medium
recording_000193_missed_signal_present_not_top_t264.2,recording_000193,missed_signal_present_not_top,264.2,,0.141,,,Telescopic rod extend-retract cycle,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000193_missed_signal_present_not_top_t264.2.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000193_missed_signal_present_not_top_t264.2_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000193_missed_signal_present_not_top_t264.2_score_plot.png,annotation_error,spurious_boundary,no,"The video shows one continuous cable-pulling and adjustment action. The brief regrasp around the GT does not form an action-level transition, and the telescopic-rod label does not match the visible object.",incorrect,spurious_gt_boundary,none,incorrect,pull,regrasp; adjust,cable,gt_spurious_within_continuous_action,boundary_motion_hard_negative,high
recording_000105_missed_signal_present_not_top_t582.0,recording_000105,missed_signal_present_not_top,582,,0.3,,8th tissue fold and press,9th tissue fold and press,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000105_missed_signal_present_not_top_t582.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000105_missed_signal_present_not_top_t582.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000105_missed_signal_present_not_top_t582.0_score_plot.png,decoder_threshold_failure,below_threshold,yes,"A genuine transition is visible from a relatively stationary hand state to continuous circular motion. The model produces a correctly located local peak at approximately 581.5 s, about 0.5 s before the GT, but its score remains below the decoding threshold and is therefore not selected. The boundary timing is visually supported, although the ""8th/9th tissue fold and press"" labels do not accurately describe the observed motion.",incorrect,valid_gt_decoder_missed,581.5–582.0,incorrect,wipe,start; press; move in circles,tissue / paper sheet,gt_valid_candidate_peak_below_threshold,boundary_positive,high
recording_000022_missed_weak_signal_t466.8,recording_000022,missed_weak_signal,466.8,,0.029,,Rinse mug after scrubbing,Place washed mug on counter,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000022_missed_weak_signal_t466.8.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000022_missed_weak_signal_t466.8_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000022_missed_weak_signal_t466.8_score_plot.png,annotation_offset,gt_too_early,yes,"True gt: 466.8, predict gt is too early: 464",supported,valid_gt_model_mislocalized,466.8,correct,place,finish rinsing,mug,gt_valid_pred_mislocalized,boundary_positive,medium
recording_000102_missed_weak_signal_t23.5,recording_000102,missed_weak_signal,23.5,,0.055,,Second fold and press tissue,Third fold and press tissue,,,,,,/workspace/tr1/results/boundary/error_audit/media/recording_000102_missed_weak_signal_t23.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000102_missed_weak_signal_t23.5_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000102_missed_weak_signal_t23.5_score_plot.png,annotation_error,spurious_boundary,no,"The video shows one continuous action in which both hands press the tissue against the table and move it broadly from side to side. No semantic transition is visible around the GT boundary at 23.5 s, and the labels ""Second fold and press tissue"" and ""Third fold and press tissue"" do not match the observed action. The very low model score at the GT is therefore appropriate; this apparent missed boundary is caused by a spurious and semantically incorrect annotation rather than a model detection failure.",incorrect,spurious_gt_boundary,none,incorrect,wipe,press; move laterally,tissue / paper sheet,gt_spurious_within_continuous_action,boundary_motion_hard_negative,high
