event_id,old_subtype,new_subtype,old_supervision,new_supervision,clean_membership_change,confidence,why
recording_000103_batch3_gt_boundary_t333.0,same_action_internal_motion,annotation_convention,strong_align,exclude,left,3_sure,候选点前后持续折叠、按压同一张纸，未出现方向切换、释放或新交互；GT 切点没有对应可见动作变化。
recording_000172_batch3_gt_boundary_t346.6,same_action_internal_motion,sharp_visible_transition,strong_align,strong_separate,flipped,3_sure,候选点附近双手从排水口释放并撤离，原先的滤网拆取操作明确结束。
recording_000096_batch3_gt_boundary_t516.0,same_action_internal_motion,annotation_convention,strong_align,exclude,left,3_sure,前后均在连续折叠、按压同一张纸，候选点没有可见的 hand-object transition；该切分仅对应标注分段。
recording_000069_batch3_gt_boundary_t330.0,visibility_or_offscreen,same_action_internal_motion,exclude,strong_align,entered,3_sure,前后均为相同的重复性上下身体运动循环，没有新对象或新动作开始。
recording_000173_batch3_gt_boundary_t161.6,same_action_internal_motion,annotation_convention,strong_align,exclude,left,2_lean,候选点位于同一滤网清洁动作两段之间的短暂空闲中；停止和重新开始分别发生在其前后，切点本身没有可见事件。
recording_000088_batch3_gt_boundary_t371.0,gradual_phase_transition,sharp_visible_transition,soft_transition,strong_separate,entered,3_sure,旧纸张被投入垃圾桶并释放，随后手返回桌面并开始处理新 tissue，存在明确 interaction reset。
recording_000207_batch3_gt_boundary_t412.0,gradual_phase_transition,sharp_visible_transition,soft_transition,strong_separate,entered,3_sure,滤网清洁在候选点附近结束，双手撤离水槽并进入空闲；动作结束清晰可见。
recording_000100_batch3_gt_boundary_t476.0,same_action_internal_motion,annotation_convention,strong_align,exclude,left,3_sure,前后标签与可见行为完全相同，均为连续折边和按压；候选点没有真实视觉切换。
recording_000141_batch3_gt_boundary_t203.5,gradual_phase_transition,same_action_internal_motion,soft_transition,strong_align,entered,3_sure,只是翻转同一个遥控器以展示另一面，对象和检查目标不变，属于同一动作内部的姿态变化。
recording_000104_batch3_gt_boundary_t392.0,same_action_internal_motion,annotation_convention,strong_align,exclude,left,3_sure,候选点前后持续折叠和按压同一张 tissue，手、对象和动作目标均未重置；GT 切点没有对应真实视觉变化。
recording_000211_batch3_gt_boundary_t322.2,visibility_or_offscreen,annotation_convention,exclude,exclude,outside,3_sure,候选点前后均为空水槽，下一轮滤网操作在明显更晚的位置才出现；GT 切点没有对应可见 transition。
recording_000025_batch3_gt_boundary_t112.0,sharp_visible_transition,same_action_internal_motion,strong_separate,strong_align,flipped,3_sure,同一水瓶持续左右移动并重新定位；对象、目标和接触关系均未重置。
recording_000127_batch3_gt_boundary_t304.0,same_action_internal_motion,annotation_convention,strong_align,exclude,left,3_sure,前后均为同一美工刀的重复伸缩循环，候选点没有真实的动作身份或对象变化。
recording_000209_batch3_gt_boundary_t435.3,same_action_internal_motion,annotation_convention,strong_align,exclude,left,3_sure,候选点位于放置滤网结束与下一轮清洁开始之间的空闲段，没有可定位的 hand-object transition。
recording_000209_batch3_gt_boundary_t155.0,same_action_internal_motion,annotation_convention,strong_align,exclude,left,3_sure,候选点落在两段相同滤网清洁之间的空闲间隔，前一动作已结束、后一动作稍后才开始，切点本身无视觉事件。
recording_000127_batch3_gt_boundary_t93.0,same_action_internal_motion,annotation_convention,strong_align,exclude,left,3_sure,前后都是同一美工刀的重复伸缩循环，候选点仅是标注分段，没有真实动作身份变化。
recording_000141_batch3_gt_boundary_t388.5,same_action_internal_motion,annotation_convention,strong_align,exclude,left,3_sure,前后连续翻转同一个遥控器以查看另一面，GT 切点只是重复循环之间的分段。
recording_000135_batch3_gt_boundary_t559.0,gradual_phase_transition,annotation_convention,soft_transition,exclude,outside,3_sure,候选点附近仍在持续解开和整理电源线，插入墙上插座的阶段在明显更晚的位置才开始。
recording_000125_batch3_gt_boundary_t386.0,same_action_internal_motion,annotation_convention,strong_align,exclude,left,3_sure,前后均在连续剥离同一圆柱物体上的透明膜，没有释放、换对象或新阶段起点。
