event_id,recording_id,t,containing_segment_label,prev_segment_label,next_segment_label,temporal_truth,notes,clip_path,contact_sheet_path
recording_000106_batch3_gt_boundary_t245.0,recording_000106,245.0,Fold a tissue paper (in progress),Fold a tissue paper (in progress),Vertical paper fold (left to right),,,,
recording_000148_batch3_gt_boundary_t439.2,recording_000148,439.2,Fold and press a paper sheet,Fold and press a paper sheet,Fold and press a paper sheet,,,,
recording_000124_batch3_gt_boundary_t129.0,recording_000124,129.0,Browsing spiral notebook pages,Browsing spiral notebook pages,Browsing spiral notebook pages,,,,
recording_000124_batch3_gt_boundary_t587.0,recording_000124,587.0,Notebook open-close cycle,Notebook open-close cycle,Short notebook open-close cycle,,,,
recording_000124_batch3_gt_boundary_t34.2,recording_000124,34.2,Open and flip through spiral notebook (cycle 6),Open and flip through spiral notebook (cycle 6),Open and flip through spiral notebook (cycle 7),,,,
recording_000084_batch3_gt_boundary_t549.7,recording_000084,549.7,Tabletop hand manipulation episode,Tabletop hand manipulation episode,Tabletop hand manipulation episode,,,,
recording_000038_batch3_gt_boundary_t49.5,recording_000038,49.5,Squeeze sponge over sink,Squeeze sponge over sink,Rinse bowl under running water,,,,
recording_000130_batch3_gt_boundary_t336.4,recording_000130,336.4,Uncoil and connect power cable to wall and adapter,Uncoil and connect power cable to wall and adapter,Coil second black cable,,,,
recording_000124_batch3_gt_boundary_t508.4,recording_000124,508.4,Notebook open-browse-close cycle 9,Notebook open-browse-close cycle 9,Notebook open-browse-close cycle 10,,,,
recording_000124_batch3_gt_boundary_t238.0,recording_000124,238.0,Notebook cover close-open cycle,Notebook cover close-open cycle,Notebook cover close-open cycle,,,,
recording_000032_batch3_gt_boundary_t89.0,recording_000032,89.0,Unfold umbrella,Neatening folded umbrella,Unfold umbrella,,,,
recording_000124_batch3_gt_boundary_t200.5,recording_000124,200.5,Notebook cover close-open cycle,Notebook cover close-open cycle,Notebook cover close-open cycle,,,,
recording_000062_batch3_gt_boundary_t526.5,recording_000062,526.5,Prepare new paper sheet,Prepare new paper sheet,Fold new paper sheet (in progress),,,,
recording_000059_batch3_gt_boundary_t402.5,recording_000059,402.5,Wipe table surface with tissue,Wipe table surface with tissue,Wipe table with first paper tissue,,,,
recording_000014_batch3_gt_boundary_t514.3,recording_000014,514.3,Uncoil white USB cable,Uncoil white USB cable,Coil white USB cable (second attempt),,,,
recording_000083_batch3_gt_boundary_t105.0,recording_000083,105.0,Fold a tissue sheet,Extract facial tissue from pack,Fold a tissue sheet,,,,
recording_000090_batch3_gt_boundary_t6.0,recording_000090,6.0,Fold a single tissue sheet,,Fold a single tissue sheet,,,,
recording_000040_batch3_gt_boundary_t269.0,recording_000040,269.0,Rinse bowl under running water,Rinse bowl under running water,Inspect bowl cleanliness,,,,
recording_000051_batch3_gt_boundary_t599.9,recording_000051,599.9,Tissue folding (completed),Tissue folding (completed),Fold and discard tissue paper,,,,
recording_000052_batch3_gt_boundary_t450.0,recording_000052,450.0,Fold one edge of paper and press crease,Fold one edge of paper and press crease,Fold one edge of paper and press crease,,,,
recording_000041_batch3_gt_boundary_t257.8,recording_000041,257.8,2nd tissue fold and press flat,2nd tissue fold and press flat,3rd tissue fold and press flat,,,,
recording_000203_batch3_gt_boundary_t78.0,recording_000203,78.0,Install sink drain strainer,Install sink drain strainer,Remove sink drain strainer,,,,
recording_000045_batch3_gt_boundary_t249.6,recording_000045,249.6,Fold a paper tissue (starts here),Fold a paper tissue (starts here),Wipe table with second tissue (starts here),,,,
recording_000084_batch3_gt_boundary_t578.0,recording_000084,578.0,Tabletop hand manipulation episode,Tabletop hand manipulation episode,Tabletop hand manipulation episode,,,,
recording_000142_batch3_gt_boundary_t515.7,recording_000142,515.7,Inspect and arrange metal luggage tag,Inspect and arrange metal luggage tag,Inspect and arrange metal luggage tag,,,,
recording_000164_batch3_gt_boundary_t37.5,recording_000164,37.5,Wash sink drain strainer,Wash sink drain strainer,Wash sink drain strainer,,,,
recording_000128_batch3_gt_boundary_t170.5,recording_000128,170.5,Wipe smartphone screen with cleaning cloth,Wipe smartphone screen with cleaning cloth,Wipe smartphone screen (1st pass),,,,
recording_000106_batch3_gt_boundary_t656.0,recording_000106,656.0,single accordion fold of tissue,single accordion fold of tissue,single accordion fold of tissue,,,,
recording_000203_batch3_gt_boundary_t200.4,recording_000203,200.4,Clean and reinstall sink strainer,Clean sink drain strainer,Clean and reinstall sink strainer,,,,
recording_000047_batch3_gt_boundary_t51.9,recording_000047,51.9,Wipe table with first disposable tissue,Wipe table with first disposable tissue,Wipe table with second disposable tissue,,,,
recording_000015_batch3_gt_boundary_t426.5,recording_000015,426.5,Roll bag into compact shape,Roll bag into compact shape,Unfold umbrella,,,,
recording_000143_batch3_gt_boundary_t525.8,recording_000143,525.8,Unfold red cloth to flat state,Unfold red cloth to flat state,Fold red cloth into compact rectangle,,,,
recording_000059_batch3_gt_boundary_t71.0,recording_000059,71.0,Tissue pack reach and use,Tissue pack reach and use,Tissue pack reach and use,,,,
recording_000012_batch3_gt_boundary_t389.0,recording_000012,389.0,Uncoil cable and spread through table hole,Uncoil cable and spread through table hole,Coil right cable end into small bundle,,,,
recording_000203_batch3_gt_boundary_t54.0,recording_000203,54.0,Clean sink drain strainer,Clean sink drain strainer,Clean sink drain strainer,,,,
recording_000052_batch3_gt_boundary_t465.0,recording_000052,465.0,Fold one edge of paper and press crease,Fold one edge of paper and press crease,Fold one edge of paper and press crease,,,,
recording_000062_batch3_gt_boundary_t122.0,recording_000062,122.0,Begin 3D shaping of folded tissue,Begin 3D shaping of folded tissue,Retrieve paper tissue from pack,,,,
recording_000345_batch3_gt_boundary_t616.7,recording_000345,616.7,Scrubbing brush bristle head under running water,Scrubbing brush bristle head under running water,Rinsing brush under running water,,,,
recording_000129_batch3_gt_boundary_t83.7,recording_000129,83.7,Insert batch of pens into red pen holder,Remove batch of pens from red pen holder to table,Insert batch of pens into red pen holder,,,,
recording_000085_batch3_gt_boundary_t640.5,recording_000085,640.5,Step 7: Manipulate flat item,Step 6: Manipulate flat item,Step 7: Manipulate flat item,,,,
recording_000143_batch3_gt_boundary_t268.7,recording_000143,268.7,Unfold red cloth to full flat size,Unfold red cloth to full flat size,Fold red cloth into compact rectangle,,,,
recording_000012_batch3_gt_boundary_t390.0,recording_000012,390.0,Coil right cable end into small bundle,Uncoil cable and spread through table hole,Coil right cable end into small bundle,,,,
recording_000043_batch3_gt_boundary_t150.3,recording_000043,150.3,Fold a paper tissue,Fold a paper tissue,Fold a paper tissue,,,,
