event_id,subtype(sharp_visible_transition|same_action_internal_motion|gradual_phase_transition|camera_or_viewpoint_shift|visibility_or_offscreen|annotation_convention|ambiguous),confidence(1_guess|2_lean|3_sure),why_this_subtype,notes
recording_000025_batch3_gt_boundary_t112.0,same_action_internal_motion,3_sure,同一水瓶持续左右移动并重新定位；对象、目标和接触关系均未重置。,
recording_000027_batch3_gt_boundary_t142.0,same_action_internal_motion,3_sure,前后均为同一水瓶的重新摆位，属于连续滑动动作内部变化。,
recording_000048_batch3_raw_change_peak_t96.0,sharp_visible_transition,3_sure,从处理并丢弃手中纸巾切换到擦拭桌面，交互目标和动作身份清晰改变。,
recording_000050_batch3_raw_change_peak_t104.0,sharp_visible_transition,3_sure,候选点附近从按压/折叠纸巾转为捏合并处理废纸巾，动作阶段发生清晰切换。,
recording_000066_batch3_raw_change_peak_t190.0,sharp_visible_transition,3_sure,从取出新纸巾转为展开、整理并准备使用，新的操作阶段在候选点附近明确开始。,
recording_000067_batch3_gt_boundary_t440.5,sharp_visible_transition,3_sure,旧纸巾处理结束后转向新纸巾并开始下一轮操作，存在清晰的 release 与 interaction reset。,
recording_000068_batch3_gt_boundary_t57.5,sharp_visible_transition,3_sure,废纸巾处理结束，随后明确转向包装并抽取新纸巾，交互对象与阶段均改变。,
recording_000068_batch3_raw_change_peak_t464.0,sharp_visible_transition,3_sure,持续擦拭结束后手转向废纸处理/新湿巾准备，动作目标出现明确重置。,
recording_000069_batch3_gt_boundary_t330.0,same_action_internal_motion,3_sure,前后均为相同的重复性上下身体运动循环，没有新对象或新动作开始。,
recording_000071_batch3_gt_boundary_t160.5,same_action_internal_motion,3_sure,前后都在处理同一张 tissue；候选点附近没有 release、换对象或新动作起点，只是连续折叠过程中的手部调整。,
recording_000072_batch3_gt_boundary_t269.5,visibility_or_offscreen,3_sure,候选点附近关键的手和 tissue 操作位于画面下缘之外，无法可靠确认是否存在真实 transition。,
recording_000072_batch3_gt_boundary_t629.0,camera_or_viewpoint_shift,3_sure,窗口内主要变化是头戴相机被重新定位，画面朝上并离开桌面操作区；没有可见的 hand-object action transition。,
recording_000073_batch3_raw_change_peak_t197.0,camera_or_viewpoint_shift,3_sure,候选点附近主要是整体构图和视角移动，实际 tissue 折叠动作并未在该点发生身份切换。,
