your_call(new_action|same_action_new_instance|same_instance|initial_action_start|terminal_action_end|cannot_determine),confidence(1_guess|2_lean|3_sure),why_one_line,event_id,clip
same_action_new_instance,3_sure,一次塞子冲洗并放回完成后双手明显离开水槽并idle，随后重新取出塞子开始下一次同类冲洗实例。,recording_000170_batch3_gt_boundary_t659.4,recording_000170_batch3_gt_boundary_t659.4.mp4
new_action,3_sure,从inspect充电宝转为把充电宝放入盒子，task-level goal改变，中间即使没有idle也属于新动作。,recording_000197_batch3_raw_change_peak_t32.0,recording_000197_batch3_raw_change_peak_t32.0.mp4
cannot_determine,3_sure,candidate前可见右手把物件放入柜子、撤出后再进入取出；candidate后关键动作在画面外，因此两侧relation无法可靠确定。,recording_000122_batch3_raw_change_peak_t544.0,recording_000122_batch3_raw_change_peak_t544.0.mp4
new_action,3_sure,从inspect手机转为inspect手表，active target/object改变；后面没有有效动作不影响candidate两侧已发生的新action判断。,recording_000157_batch3_raw_change_peak_t632.0,recording_000157_batch3_raw_change_peak_t632.0.mp4
same_instance,3_sure,双手持续按着纸巾小幅度擦桌子，中间没有disengagement或reset。,recording_000088_batch3_gt_boundary_t275.0,recording_000088_batch3_gt_boundary_t275.0.mp4
new_action,2_lean,先整理充电线，释放并idle后再开始缠好充电线；存在明确reset，且前后操作目标可视为不同task-level phase。,recording_000137_batch3_raw_change_peak_t299.0,recording_000137_batch3_raw_change_peak_t299.0.mp4
same_instance,3_sure,双手持续按着纸巾中等幅度擦桌子，中间没有disengagement或reset。,recording_000101_batch3_gt_boundary_t48.0,recording_000101_batch3_gt_boundary_t48.0.mp4
new_action,2_lean,可见流程从团纸巾并丢弃切到抽取并折叠新纸巾；task-level action改变，但手部位于画面边缘，判断依赖一定上下文推断。,recording_000046_missed_signal_present_not_top_t378.7,recording_000046_missed_signal_present_not_top_t378.7.mp4
same_instance,3_sure,撕下保鲜膜罩在碗上并继续整理碗上的保鲜膜，中间没有release/reset，属于同一连续wrapping实例。,recording_000406_duplicate_t571.0,recording_000406_duplicate_t571.0.mp4
initial_action_start,3_sure,candidate前持续idle/无动作，candidate后右手开始新的拖鞋交互；这是从inactive状态进入第一个动作实例，属于initial_action_start。,recording_000005_batch3_raw_change_peak_t372.0,recording_000005_batch3_raw_change_peak_t372.0.mp4
same_action_new_instance,3_sure,擦桌子实例中双手离开纸巾并进入idle，随后重新接触纸巾继续同一擦桌动作；有明确release/idle和re-engagement。,recording_000104_batch3_gt_boundary_t392.0,recording_000104_batch3_gt_boundary_t392.0.mp4
new_action,3_sure,丢旧纸巾→准备新纸巾→开始擦桌子，task-level action改变，即使中间没有明显中断。,recording_000067_batch3_gt_boundary_t440.5,recording_000067_batch3_gt_boundary_t440.5.mp4
terminal_action_end,3_sure,双手完成塞子冲洗并放回后，画面中没有后续有效动作；前一动作结束并保持inactive。,recording_000179_batch3_gt_boundary_t688.5,recording_000179_batch3_gt_boundary_t688.5.mp4
cannot_determine,3_sure,大部分关键手部动作在画面外，只能看到candidate附近双手抽取纸巾并折好，无法可靠确定两侧relation。,recording_000061_early_t167.3,recording_000061_early_t167.3.mp4
new_action,3_sure,丢弃旧纸巾后抽取并折叠新纸巾，随后开始擦桌子；candidate两侧属于不同task-level action，即使中间没有明显idle。,recording_000050_batch3_gt_boundary_t291.5,recording_000050_batch3_gt_boundary_t291.5.mp4
same_action_new_instance,2_lean,一轮塞子冲洗并放回后有短暂停顿，随后再次取出塞子冲洗；物体已放回并重新拿取，支持instance reset，但手没有明显离开工作区。,recording_000160_exact_t575.6,recording_000160_exact_t575.6.mp4
same_action_new_instance,3_sure,杯子一次移动完成后双手释放idle，随后重新抓取开始下一次同类移动实例。,recording_000035_batch3_raw_change_peak_t351.0,recording_000035_batch3_raw_change_peak_t351.0.mp4
new_action,2_lean,可见流程从团纸巾并丢弃切到抽取并折叠新纸巾；task-level action改变，但手部位于画面边缘，判断依赖一定上下文推断。,recording_000048_batch3_raw_change_peak_t96.0,recording_000048_batch3_raw_change_peak_t96.0.mp4
new_action,3_sure,双手先盘/整理充电线，随后拆开并把插头插入墙上插座；task-level goal从整理线缆转为连接/插电，中间虽连续但action改变。,recording_000135_batch3_gt_boundary_t559.0,recording_000135_batch3_gt_boundary_t559.0.mp4
same_action_new_instance,3_sure,一轮接水/冲洗/倒水并放下杯子完成，双手释放idle，随后重新拿起杯子开始下一轮同类冲洗动作。,recording_000022_missed_weak_signal_t466.8,recording_000022_missed_weak_signal_t466.8.mp4
new_action,3_sure,前面是接水/冲洗杯子，随后右手进入杯内开始搓洗；从rinse转为scrub，是新的task-level action。,recording_000022_missed_signal_present_not_top_t366.5,recording_000022_missed_signal_present_not_top_t366.5.mp4
same_instance,3_sure,双手持续按着纸巾小幅度擦桌子，中间没有disengagement或reset。,recording_000108_batch3_gt_boundary_t517.5,recording_000108_batch3_gt_boundary_t517.5.mp4
same_action_new_instance,3_sure,塞子放回后双手明显idle，随后再次取出塞子并开始冲洗；上一实例完成、disengage后重新开始同类实例。,recording_000183_exact_t144.0,recording_000183_exact_t144.0.mp4
cannot_determine,3_sure,画面没有可用动作信息，无法确定candidate两侧的instance relation。,recording_000167_batch3_raw_change_peak_t689.0,recording_000167_batch3_raw_change_peak_t689.0.mp4
same_action_new_instance,3_sure,一轮开瓶、倒液体并搅拌后手明显idle，随后再次打开瓶盖开始下一轮同类操作，存在清晰reset和re-engagement。,recording_000327_duplicate_t11.5,recording_000327_duplicate_t11.5.mp4
same_instance,3_sure,双手持续按着纸巾小幅度擦桌子，中间没有disengagement或reset。,recording_000103_batch3_gt_boundary_t333.0,recording_000103_batch3_gt_boundary_t333.0.mp4
new_action,2_lean,可见流程从丢弃旧纸巾转为抽取/折叠新纸巾并开始擦桌子；task-level action改变，但手部位于画面边缘，需要一定上下文推断。,recording_000053_late_t207.5,recording_000053_late_t207.5.mp4
same_action_new_instance,3_sure,一次杯子左→右移动完成后双手释放并idle，随后重新抓杯开始反向移动；有明确disengagement和重新接触。,recording_000030_false_gap_t556.0,recording_000030_false_gap_t556.0.mp4
same_instance,3_sure,双手持续拿着拖鞋做重复的90度摆动与归位，中间没有release、idle或reset，属于同一连续实例。,recording_000220_early_t143.8,recording_000220_early_t143.8.mp4
cannot_determine,3_sure,candidate前关键手部动作在画面外；candidate后可见丢旧纸并取新纸，但两侧relation无法可靠确定。,recording_000068_batch3_raw_change_peak_t464.0,recording_000068_batch3_raw_change_peak_t464.0.mp4
same_instance,2_lean,从黑袋取出纸盒、叠好并用胶带封盒底，整个过程连续无disengagement；按当前task granularity视为同一纸盒处理实例。,recording_000242_false_near_edge_t29.5,recording_000242_false_near_edge_t29.5.mp4
new_action,3_sure,丢弃旧纸巾后立即抽取并折叠新纸巾，随后开始擦桌子；虽然中间没有idle，但task-level action发生改变。,recording_000058_batch3_raw_change_peak_t585.0,recording_000058_batch3_raw_change_peak_t585.0.mp4
same_action_new_instance,3_sure,打开瓶子、倒液体并搅拌的一轮操作完成后手明显idle，随后再次打开瓶盖并倒液体，属于同一动作序列的新实例。,recording_000325_late_t40.5,recording_000325_late_t40.5.mp4
terminal_action_end,2_lean,把胶带从盒底取下、压扁纸盒并放回黑袋后，描述中没有后续有效动作；暂按动作结束且无后续实例处理。,recording_000250_exact_t590.0,recording_000250_exact_t590.0.mp4
same_action_new_instance,3_sure,一次杯子左右移动实例结束后双手释放idle，再重新抓取开始下一次同类移动实例。,recording_000030_late_t387.5,recording_000030_late_t387.5.mp4
