priority,priority_reason,event_id,recording_id,t,current_binary_role,raw_left_right_distance,nearest_other_audited_event_s,temporal_pair_subtype,pair_supervision,notes,prev_segment_label,next_segment_label,containing_segment_label,clip_path,contact_sheet_path,score_plot_path
1,contradicts_raw_geometry_positive,recording_000220_exact_t522.0,recording_000220,522.0,positive,1.2e-05,64.4,same_action_internal_motion,,,,Slipper inspection cycle,,/workspace/tr1/results/boundary/error_audit/media/recording_000220_exact_t522.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000220_exact_t522.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000220_exact_t522.0_score_plot.png
1,contradicts_raw_geometry_positive,recording_000325_missed_signal_present_not_top_t32.5,recording_000325,32.5,positive,1.6e-05,8.5,sharp_visible_transition,,,,Apply liquid to pan with brush,,/workspace/tr1/results/hal/batch2_media/media/recording_000325_missed_signal_present_not_top_t32.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000325_missed_signal_present_not_top_t32.5_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000325_missed_signal_present_not_top_t32.5_score_plot.png
1,contradicts_raw_geometry_positive,recording_000213_late_t43.0,recording_000213,43.5,positive,2.5e-05,107.0,sharp_visible_transition,,,Clean sink drain strainer,,,/workspace/tr1/results/boundary/error_audit/media/recording_000213_late_t43.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000213_late_t43.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000213_late_t43.0_score_plot.png
1,contradicts_raw_geometry_positive,recording_000116_exact_t435.2,recording_000116,435.0,positive,2.5e-05,127.0,sharp_visible_transition,,,,Cleaning countertop with squeegee,,/workspace/tr1/results/boundary/error_audit/media/recording_000116_exact_t435.2.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000116_exact_t435.2_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000116_exact_t435.2_score_plot.png
1,contradicts_raw_geometry_positive,recording_000150_missed_weak_signal_t9.5,recording_000150,9.5,positive,3.5e-05,24.5,same_action_internal_motion,,,,Flip remote control to opposite side,,/workspace/tr1/results/boundary/error_audit/media/recording_000150_missed_weak_signal_t9.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000150_missed_weak_signal_t9.5_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000150_missed_weak_signal_t9.5_score_plot.png
1,contradicts_raw_geometry_positive,recording_000230_missed_signal_present_not_top_t650.0,recording_000230,650.0,positive,3.5e-05,17.5,sharp_visible_transition,,,Place item into cardboard box,,,/workspace/tr1/results/hal/batch2_media/media/recording_000230_missed_signal_present_not_top_t650.0.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000230_missed_signal_present_not_top_t650.0_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000230_missed_signal_present_not_top_t650.0_score_plot.png
1,contradicts_raw_geometry_positive,recording_000046_missed_signal_present_not_top_t378.7,recording_000046,378.7,positive,4.3e-05,,sharp_visible_transition,,,Retrieving sheet from pack,Folding sheet,,/workspace/tr1/results/boundary/error_audit/media/recording_000046_missed_signal_present_not_top_t378.7.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000046_missed_signal_present_not_top_t378.7_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000046_missed_signal_present_not_top_t378.7_score_plot.png
1,contradicts_raw_geometry_positive,recording_000327_duplicate_t11.5,recording_000327,11.5,positive,4.4e-05,144.5,annotation_convention,,,,,,/workspace/tr1/results/hal/batch2_media/media/recording_000327_duplicate_t11.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000327_duplicate_t11.5_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000327_duplicate_t11.5_score_plot.png
1,contradicts_raw_geometry_positive,recording_000030_late_t501.0,recording_000030,501.5,positive,4.8e-05,54.5,sharp_visible_transition,,,Move water bottle from table center to left,,,/workspace/tr1/results/boundary/error_audit/media/recording_000030_late_t501.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000030_late_t501.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000030_late_t501.0_score_plot.png
1,contradicts_raw_geometry_positive,recording_000188_missed_signal_present_not_top_t39.0,recording_000188,39.0,positive,5.1e-05,14.0,sharp_visible_transition,,,Inspect first portable charger,Repack first portable charger and close product box,,/workspace/tr1/results/boundary/error_audit/media/recording_000188_missed_signal_present_not_top_t39.0.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000188_missed_signal_present_not_top_t39.0_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000188_missed_signal_present_not_top_t39.0_score_plot.png
1,contradicts_raw_geometry_positive,recording_000176_false_mid_segment_t90.5,recording_000176,90.5,positive,5.2e-05,98.0,sharp_visible_transition,,,,,Install sink strainer,/workspace/tr1/results/boundary/error_audit/media/recording_000176_false_mid_segment_t90.5.mp4,/workspace/tr1/results/boundary/error_audit/media/recording_000176_false_mid_segment_t90.5_contact_sheet.png,/workspace/tr1/results/boundary/error_audit/media/recording_000176_false_mid_segment_t90.5_score_plot.png
1,contradicts_raw_geometry_positive,recording_000343_missed_signal_present_not_top_t445.2,recording_000343,445.2,positive,5.6e-05,44.7,sharp_visible_transition,,,Apply liquid to pan with brush from bottle,,,/workspace/tr1/results/hal/batch2_media/media/recording_000343_missed_signal_present_not_top_t445.2.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000343_missed_signal_present_not_top_t445.2_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000343_missed_signal_present_not_top_t445.2_score_plot.png
1,contradicts_raw_geometry_positive,recording_000343_late_t628.5,recording_000343,629.0,positive,6.1e-05,82.0,sharp_visible_transition,,,apply liquid coat to pan,,,/workspace/tr1/results/hal/batch2_media/media/recording_000343_late_t628.5.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000343_late_t628.5_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000343_late_t628.5_score_plot.png
1,contradicts_raw_geometry_positive,recording_000282_false_mid_segment_t204.0,recording_000282,204.0,positive,7e-05,208.5,sharp_visible_transition,,,,,Assemble and seal cardboard box,/workspace/tr1/results/hal/batch2_media/media/recording_000282_false_mid_segment_t204.0.mp4,/workspace/tr1/results/hal/batch2_media/media/recording_000282_false_mid_segment_t204.0_contact_sheet.png,/workspace/tr1/results/hal/batch2_media/media/recording_000282_false_mid_segment_t204.0_score_plot.png
