your_call(smooth_ramp|overlapping_transition|multi_step_transition|point_like|ambiguous_interval),confidence(1_guess|2_lean|3_sure),why_one_line,event_id,clip,prev_segment_label,next_segment_label,containing_segment_label
,,,recording_000022_missed_signal_present_not_top_t366.5,recording_000022_missed_signal_present_not_top_t366.5.mp4,Initiate additional mug rinse,Scrub mug interior,
,,,recording_000204_batch3_raw_change_peak_t484.0,recording_000204_batch3_raw_change_peak_t484.0.mp4,,,
,,,recording_000178_batch3_raw_change_peak_t360.0,recording_000178_batch3_raw_change_peak_t360.0.mp4,,,
,,,recording_000212_batch3_gt_boundary_t502.2,recording_000212_batch3_gt_boundary_t502.2.mp4,,,
,,,recording_000212_batch3_raw_change_peak_t248.0,recording_000212_batch3_raw_change_peak_t248.0.mp4,,,
,,,recording_000192_batch3_gt_boundary_t485.6,recording_000192_batch3_gt_boundary_t485.6.mp4,,,
overlapping_transition,3_sure,右手始终持有卷材，左手已经逐步转向并抓住圆形容器，旧动作未结束时新对象交互已开始。,recording_000431_false_near_edge_t440.5,recording_000431_false_near_edge_t440.5.mp4,,,Unroll and tear plastic wrap sheet
multi_step_transition,3_sure,持卷材、调整小部件、移动卷材并最终转入膜面操作是一串离散步骤，整体转换分散在一段时间内。,recording_000406_false_mid_segment_t29.5,recording_000406_false_mid_segment_t29.5.mp4,,,Drape plastic wrap over the bowl
,,,recording_000058_batch3_raw_change_peak_t585.0,recording_000058_batch3_raw_change_peak_t585.0.mp4,,,
,,,recording_000049_batch3_gt_boundary_t94.5,recording_000049_batch3_gt_boundary_t94.5.mp4,,,
,,,recording_000156_batch3_gt_boundary_t254.0,recording_000156_batch3_gt_boundary_t254.0.mp4,,,
,,,recording_000163_batch3_raw_change_peak_t397.0,recording_000163_batch3_raw_change_peak_t397.0.mp4,,,
overlapping_transition,3_sure,手中线材仍被持有和整理时，另一只手已经开始打开抽屉并准备放入，旧对象交互与新 target interaction 明显重叠。,recording_000465_early_t599.0,recording_000465_early_t599.0.mp4,Recoil charging cable,Store recoil charging cable in drawer,
,,,recording_000028_batch3_raw_change_peak_t273.0,recording_000028_batch3_raw_change_peak_t273.0.mp4,,,
multi_step_transition,2_lean,从持卷材并操作小部件，到逐步放开/移动卷材，再转入压平透明膜，由多个步骤组成而非一个独立切点。,recording_000388_false_mid_segment_t618.0,recording_000388_false_mid_segment_t618.0.mp4,,,Unroll plastic wrap to required length
,,,recording_000213_late_t150.0,recording_000213_late_t150.0.mp4,"Remove, rinse and reseat sink strainer","Remove, rinse and reseat sink strainer",
,,,recording_000145_batch3_gt_boundary_t558.0,recording_000145_batch3_gt_boundary_t558.0.mp4,,,
,,,recording_000029_batch3_raw_change_peak_t163.0,recording_000029_batch3_raw_change_peak_t163.0.mp4,,,
,,,recording_000206_batch3_raw_change_peak_t616.0,recording_000206_batch3_raw_change_peak_t616.0.mp4,,,
point_like,3_sure,右手持续压平透明膜后，在很短时间内抬起并转为捏持/操作小部件，存在清楚的局部 interaction reset。,recording_000388_false_mid_segment_t375.5,recording_000388_false_mid_segment_t375.5.mp4,,,Cover bowl with wrap
,,,recording_000048_batch3_raw_change_peak_t528.0,recording_000048_batch3_raw_change_peak_t528.0.mp4,,,
overlapping_transition,2_lean,卷材交互仍持续时，另一只手已开始处理圆形容器/透明膜区域，两个 interaction regime 有明显并存阶段。,recording_000431_false_mid_segment_t427.5,recording_000431_false_mid_segment_t427.5.mp4,,,Unroll and tear plastic wrap sheet
