audit_key,recording_id,candidate_time,claim_support,granularity,major_action_missing,action_presence,segment_structure,upstream_timing_issue,task_timing_status,human_boundary_points_json,human_boundary_intervals_json,motion_phase_points_json,canonical_task_times_json,nearest_canonical_task_time,timing_precision,semantic_decision_note,timing_note
22/t240,recording_000022,240.0,partial,too_fine,no,mixed_action_and_no_action,oversegmented,yes,onset_only,[238.0],[],[],[238.0],238.0,exact_user,Only the scrub-mug claim is supported; earlier place/shake/reposition claims do not match the shown action. The cleaning phases were also split too finely.,idle -> grasp mug / fill / scrub interior / pour out; user says real boundary 238
80/t113,recording_000080,113.0,yes,adequate,no,valid_action,adequate,no,point,[111.7],[],[],[111.7],111.7,exact_user,Both repeated wipe-and-discard instances are correctly named at the adopted task level.,boundary between repeated wipe-and-discard task instances
80/t478.5,recording_000080,478.5,yes,adequate,no,valid_action,adequate,no,point,[479.0],[],[],[479.0],479.0,exact_user,Both repeated wipe-and-discard instances are correctly named.,boundary between repeated wipe-and-discard task instances
80/t559.5,recording_000080,559.5,partial,too_coarse,yes,valid_action,adequate,no,point,[559.0],[],[],[559.0],559.0,exact_user,Fold/discard is only part of the real instance; the major wipe-table action is omitted.,boundary into next tissue/wipe instance
86/t530.5,recording_000086,530.5,no,not_applicable,yes,mixed_action_and_no_action,spurious_no_action,yes,onset_only,[535.0],[],[],[535.0],535.0,exact_user,"Most of the span has no valid action, and 'fold disposable mask' is fabricated; the real tissue-retrieval onset is missed.",mostly no valid action; new tissue retrieval starts at 535
102/t23.5,recording_000102,23.5,no,not_applicable,yes,valid_action,oversegmented,yes,no_task_boundary,[],[],[],[],,none,Actual action is continuous large-stroke wiping; all fold/press labels are wrong and the span is overcut.,continuous large wiping; no action change
102/t164,recording_000102,164.0,no,not_applicable,yes,valid_action,oversegmented,yes,motion_phase_only,[],[],[165.0],[],,phase_only,Actual action is continuous wiping with an internal amplitude change; fold/crease labels are wrong.,Large-stroke -> small-stroke wiping is one continuous wipe action; 165s is a motion-phase point only.
102/t439,recording_000102,439.0,no,not_applicable,yes,valid_action,oversegmented,yes,motion_phase_only,[],[],[441.0],[],,phase_only,Actual action is continuous wiping with an internal amplitude change; fold/unfold labels are wrong.,Large-stroke -> small-stroke wiping is one continuous wipe action; 441s is a motion-phase point only.
102/t471.5,recording_000102,471.5,no,not_applicable,yes,valid_action,oversegmented,yes,no_task_boundary,[],[],[],[],,none,Actual action is continuous small-stroke wiping; all fold/unfold labels are wrong.,continuous small wiping; no interruption or action change
105/t72,recording_000105,72.0,no,not_applicable,yes,valid_action,oversegmented,yes,no_task_boundary,[],[],[],[],,none,Actual action is continuous small-stroke wiping; fold-unfold labels are wrong.,continuous small wiping; no interruption or action change
