revised_temporal_pair_subtype,morphology_target,ontology_confidence,ontology_reason,suggested_candidate_relation,suggested_corrected_boundary_time,revision_source,previous_temporal_pair_subtype,interval_morphology_subtype_blind,interval_morphology_confidence_blind,interval_morphology_reason_blind,event_id,clip,prev_segment_label,next_segment_label,containing_segment_label
gradual_phase_transition,INTERVAL_TRANSITION,3_sure,左手持杯、右手关水后约1秒再进入杯内搓洗；从冲洗到搓洗是真实阶段变化，但由关水→移手→入杯形成短过渡区间。,undecidable,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,multi_step_transition,3_sure,从水龙头交互结束，到重新持杯，再到手进入杯内开始 scrub，经过多个离散步骤，没有一个瞬间能独占整个切换。,recording_000022_missed_signal_present_not_top_t366.5,recording_000022_missed_signal_present_not_top_t366.5.mp4,Initiate additional mug rinse,Scrub mug interior,
same_action_internal_motion,NO_TRANSITION,3_sure,全程都是双手拿着塞子在水龙头下冲洗，没有 task-level transition。,no_valid_boundary,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,smooth_ramp,3_sure,始终是同一圆形部件在 faucet 下连续旋转/清洗/调整，没有明显离散 interaction reset。,recording_000204_batch3_raw_change_peak_t484.0,recording_000204_batch3_raw_change_peak_t484.0.mp4,,,
same_action_internal_motion,NO_TRANSITION,2_lean,取出塞子、开水并冲洗属于同一个处理/清洗塞子的完整动作，开水龙头不单独形成 segment。,no_valid_boundary,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,overlapping_transition,3_sure,一只手仍维持 drain/strainer interaction 时，另一只手已经开始转向 faucet，新旧 interaction 在一段时间内明显重叠。,recording_000178_batch3_raw_change_peak_t360.0,recording_000178_batch3_raw_change_peak_t360.0.mp4,,,
sharp_visible_transition,POINT_TRANSITION,3_sure,把小包装放入袋子并合上盖子后，转为从袋子里倒出来；task goal 出现集中切换。,undecidable,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,multi_step_transition,3_sure,从整理并装入多件物品，到关闭/翻转盒体再进入下一步，转换由多个离散操作组成。,recording_000212_batch3_gt_boundary_t502.2,recording_000212_batch3_gt_boundary_t502.2.mp4,,,
sharp_visible_transition,POINT_TRANSITION,3_sure,把小包装放入袋子并合上盖子后，转为从袋子里倒出来；按当前颗粒度是 point-level task switch。,undecidable,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,overlapping_transition,3_sure,手中仍在整理/持有一组物件时，另一部分已经开始被送入盒中，旧的 gathering 与新的 packing 明显重叠。,recording_000212_batch3_raw_change_peak_t248.0,recording_000212_batch3_raw_change_peak_t248.0.mp4,,,
sharp_visible_transition,POINT_TRANSITION,3_sure,约486秒由左手持盒、右手从盒中取充电宝，集中切换为双手持充电宝并翻面/检查/拔线；active object configuration、动作模式和双手角色同时改变。,exact,486.0,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,point_like,2_lean,物体从包装/托盘交互转为独立持起并检查，主要 interaction state change 集中在很短的一段时间内。,recording_000192_batch3_gt_boundary_t485.6,recording_000192_batch3_gt_boundary_t485.6.mp4,,,
same_action_internal_motion,NO_TRANSITION,3_sure,把保鲜膜封到碗上并用左手固定碗，仍属于同一个 wrapping/covering 动作。,no_valid_boundary,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,overlapping_transition,3_sure,右手始终持有卷材，左手已经逐步转向并抓住圆形容器，旧动作未结束时新对象交互已开始。,recording_000431_false_near_edge_t440.5,recording_000431_false_near_edge_t440.5.mp4,,,Unroll and tear plastic wrap sheet
same_action_internal_motion,NO_TRANSITION,3_sure,扯开保鲜膜、覆盖到碗上并按压碗口属于同一个动作。,no_valid_boundary,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,multi_step_transition,3_sure,持卷材、调整小部件、移动卷材并最终转入膜面操作是一串离散步骤，整体转换分散在一段时间内。,recording_000406_false_mid_segment_t29.5,recording_000406_false_mid_segment_t29.5.mp4,,,Drape plastic wrap over the bowl
gradual_phase_transition,INTERVAL_TRANSITION,3_sure,准备/折叠纸巾逐步进入按着纸巾擦桌子的动作，折叠阶段承担两个动作之间的 overlap。,undecidable,,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,smooth_ramp,2_lean,同一张纸巾持续被折、压、调整，物体状态连续演化，没有明显的单点 interaction reset。,recording_000058_batch3_raw_change_peak_t585.0,recording_000058_batch3_raw_change_peak_t585.0.mp4,,,
sharp_visible_transition,POINT_TRANSITION,3_sure,约93.5秒从双手按纸巾擦桌子集中切换为把纸巾团起并扔进垃圾桶；手和物体接触连续，但 action goal/mode 明确改变。,late,93.5,ontology_reaudit_natural_language_2026-08-09,gradual_phase_transition,point_like,3_sure,持续的小物体/纸巾操作后，手在一个较紧凑时刻离开并转向旁边的新物体/纸巾包，存在清晰 interaction switch。,recording_000049_batch3_gt_boundary_t94.5,recording_000049_batch3_gt_boundary_t94.5.mp4,,,
