your_call(sharp|interval|same|cannot),confidence(1_guess|2_lean|3_sure),event_id,clip,notes
interval,3_sure,recording_000049_batch3_raw_change_peak_t325.0,recording_000049_batch3_raw_change_peak_t325.0.mp4,擦桌子→把纸扔进垃圾桶→拿新纸巾并折叠；两个动作之间手短暂腾空，属于短过渡区间。
sharp,3_sure,recording_000212_batch3_gt_boundary_t502.2,recording_000212_batch3_gt_boundary_t502.2.mp4,把小包装整理并放入大袋子、合上盖子后，转为把东西从大袋子里倒出来；task goal出现清晰point transition。
interval,3_sure,recording_000024_batch3_raw_change_peak_t584.0,recording_000024_batch3_raw_change_peak_t584.0.mp4,拿出海绵放桌上并离手；随后拿起碗、开水龙头接水；两个动作之间手短暂idle。
same,3_sure,recording_000149_batch3_gt_boundary_t193.2,recording_000149_batch3_gt_boundary_t193.2.mp4,同一个动作：双手拿手机，右手大拇指点亮手机屏幕。
cannot,3_sure,recording_000001_batch3_gt_boundary_t412.8,recording_000001_batch3_gt_boundary_t412.8.mp4,关键动作不在画面里，无法判断该候选处是否存在可见 transition。
interval,3_sure,recording_000218_batch3_raw_change_peak_t366.0,recording_000218_batch3_raw_change_peak_t366.0.mp4,与000218/t123.1相同：双手把两只拖鞋放入桌子抽屉，随后依次取出再放回；拖鞋放入抽屉后停留约1秒，两个动作实例之间形成过渡区间。
same,3_sure,recording_000153_batch3_gt_boundary_t223.5,recording_000153_batch3_gt_boundary_t223.5.mp4,重复同一个动作：左手拿遥控器，右手在遥控器上上下滑动。
interval,3_sure,recording_000201_batch3_gt_boundary_t132.1,recording_000201_batch3_gt_boundary_t132.1.mp4,一次下水道塞子冲洗并放回后，双手明显离开水槽；随后再次取出塞子冲洗。两个动作实例之间存在idle区间。
interval,3_sure,recording_000025_batch3_gt_boundary_t413.5,recording_000025_batch3_gt_boundary_t413.5.mp4,反复将杯子左→右、右→左移动；两个动作之间手短暂idle。
same,3_sure,recording_000149_batch3_raw_change_peak_t425.0,recording_000149_batch3_raw_change_peak_t425.0.mp4,同一个动作：双手拿手机，右手大拇指点亮手机屏幕。
interval,3_sure,recording_000205_batch3_raw_change_peak_t420.0,recording_000205_batch3_raw_change_peak_t420.0.mp4,双手取出下水道塞子、冲洗并放回；动作完成后双手明显离开水槽并进入idle，形成动作结束到idle的过渡区间。
interval,3_sure,recording_000035_batch3_raw_change_peak_t132.0,recording_000035_batch3_raw_change_peak_t132.0.mp4,反复将杯子左→右、右→左移动；两个动作之间手短暂idle。
interval,3_sure,recording_000023_batch3_raw_change_peak_t333.0,recording_000023_batch3_raw_change_peak_t333.0.mp4,双手插好数据线并放好，手短暂离开/idle，再伸向数据线把它打开；两个动作之间有短暂idle。
same,3_sure,recording_000054_batch3_raw_change_peak_t47.0,recording_000054_batch3_raw_change_peak_t47.0.mp4,同一个动作：双手按着纸巾在桌面上大幅度擦桌子。
same,3_sure,recording_000195_batch3_gt_boundary_t407.2,recording_000195_batch3_gt_boundary_t407.2.mp4,左手扶玩偶、右手擦玩偶头部；中间玩偶嘴闭上可能造成视觉变化，但主动作不变。
cannot,3_sure,recording_000009_batch3_raw_change_peak_t677.0,recording_000009_batch3_raw_change_peak_t677.0.mp4,关键动作在画面外，无法判断该候选处是否存在可见 transition。
interval,3_sure,recording_000033_batch3_raw_change_peak_t566.0,recording_000033_batch3_raw_change_peak_t566.0.mp4,把碗里的水倒出并放桌上、双手离开；随后重新拿起碗到水龙头下并开水冲洗；两个动作之间手短暂idle。
interval,3_sure,recording_000025_batch3_gt_boundary_t516.0,recording_000025_batch3_gt_boundary_t516.0.mp4,反复将杯子左→右、右→左移动；两个动作之间手短暂idle。
same,3_sure,recording_000182_batch3_gt_boundary_t14.0,recording_000182_batch3_gt_boundary_t14.0.mp4,双手先idle，随后取出下水道塞子并在水龙头下冲洗，视频到这里结束；按本次复审，候选附近没有可接受的动作间boundary。
interval,3_sure,recording_000027_batch3_gt_boundary_t541.0,recording_000027_batch3_gt_boundary_t541.0.mp4,反复将杯子左→右、右→左移动；两个动作之间手短暂idle。
interval,3_sure,recording_000214_batch3_gt_boundary_t521.0,recording_000214_batch3_gt_boundary_t521.0.mp4,手一开始idle，随后伸向沙发下面的拖鞋，把拖鞋拿出来再放回，之后继续idle；动作前后都有明显idle，形成过渡区间。
interval,3_sure,recording_000013_batch3_gt_boundary_t516.0,recording_000013_batch3_gt_boundary_t516.0.mp4,反复将杯子左→右、右→左移动；两个动作之间手短暂idle。
same,3_sure,recording_000201_batch3_raw_change_peak_t272.0,recording_000201_batch3_raw_change_peak_t272.0.mp4,双手取出下水道塞子、在水龙头下冲洗并放回，视频到这里结束；按本次复审，候选附近没有后续动作边界。
interval,3_sure,recording_000169_batch3_raw_change_peak_t169.0,recording_000169_batch3_raw_change_peak_t169.0.mp4,双手取出下水道塞子、在水龙头下冲洗并放回；动作完成后双手明显离开水槽并进入idle。虽然没有后续动作，动作结束到idle构成过渡区间。
interval,3_sure,recording_000180_batch3_gt_boundary_t392.5,recording_000180_batch3_gt_boundary_t392.5.mp4,一次塞子冲洗并放回完成后，双手明显离开水槽，再开始下一次取出塞子冲洗；两个动作实例之间存在idle区间。
interval,3_sure,recording_000152_batch3_gt_boundary_t9.5,recording_000152_batch3_gt_boundary_t9.5.mp4,重复遥控器操作循环：背面向上放桌面→双手短暂离开/idle→重新取回并正面检查→再放回；每次动作实例之间有明显idle，因此本次复审改为interval。
interval,3_sure,recording_000049_batch3_gt_boundary_t94.5,recording_000049_batch3_gt_boundary_t94.5.mp4,擦桌子→把纸扔进垃圾桶→拿新纸巾并折叠；两个动作之间手短暂腾空，属于短过渡区间。
cannot,2_lean,recording_000211_batch3_raw_change_peak_t515.0,recording_000211_batch3_raw_change_peak_t515.0.mp4,大部分关键动作在画面外；只能看到下水道塞子在水龙头下冲洗且视频随后结束，候选处观测不足以可靠判断boundary。
interval,3_sure,recording_000179_batch3_raw_change_peak_t324.0,recording_000179_batch3_raw_change_peak_t324.0.mp4,一次塞子冲洗并放回完成后，双手明显离开水槽，再开始下一次取出塞子冲洗；两个动作实例之间存在idle区间。
interval,3_sure,recording_000035_batch3_gt_boundary_t473.0,recording_000035_batch3_gt_boundary_t473.0.mp4,反复将杯子左→右、右→左移动；两个动作之间手短暂idle。
interval,3_sure,recording_000029_batch3_raw_change_peak_t442.0,recording_000029_batch3_raw_change_peak_t442.0.mp4,双手把伞缠好并离开，之后重新取伞并打开伞面；两个动作之间手短暂idle。
same,3_sure,recording_000186_batch3_raw_change_peak_t427.0,recording_000186_batch3_raw_change_peak_t427.0.mp4,双手先idle，随后取出下水道塞子并在水龙头下冲洗，视频到这里结束；按本次复审，候选附近没有可接受的动作间boundary。
interval,3_sure,recording_000008_batch3_gt_boundary_t163.0,recording_000008_batch3_gt_boundary_t163.0.mp4,扫帚把垃圾扫进簸箕；下一阶段左手持簸箕把垃圾倒在地上，再由右手扫回簸箕。倒出前约0.5s滞空，存在短过渡区间。
same,3_sure,recording_000144_batch3_raw_change_peak_t171.0,recording_000144_batch3_raw_change_peak_t171.0.mp4,同一个动作：左手拿遥控器、右手支撑，大拇指在遥控器上活动。
interval,3_sure,recording_000011_batch3_raw_change_peak_t352.0,recording_000011_batch3_raw_change_peak_t352.0.mp4,双手插好数据线并放好，手短暂离开/idle，再伸向数据线把它打开；两个动作之间有短暂idle。
cannot,3_sure,recording_000056_batch3_gt_boundary_t277.0,recording_000056_batch3_gt_boundary_t277.0.mp4,关键动作在画面外，无法判断。
interval,3_sure,recording_000026_batch3_raw_change_peak_t206.0,recording_000026_batch3_raw_change_peak_t206.0.mp4,手伸向数据线并打开，随后离开；再由双手开始缠数据线；两个动作之间手短暂idle。
interval,3_sure,recording_000019_batch3_gt_boundary_t9.5,recording_000019_batch3_gt_boundary_t9.5.mp4,反复将杯子左→右、右→左移动；两个动作之间手短暂idle。
interval,3_sure,recording_000219_batch3_gt_boundary_t427.0,recording_000219_batch3_gt_boundary_t427.0.mp4,右手逐个收起桌面小盒子；中间左右手不可见并停顿约1秒，随后一次性把所有小盒子放回桌面，两个动作之间有明显间隔。
interval,3_sure,recording_000006_batch3_raw_change_peak_t468.0,recording_000006_batch3_raw_change_peak_t468.0.mp4,重复扫入簸箕→倒出→再扫入的循环；倒出垃圾前约0.5s滞空，两个动作之间有短过渡区间。
same,3_sure,recording_000065_batch3_raw_change_peak_t466.0,recording_000065_batch3_raw_change_peak_t466.0.mp4,同一个动作：双手按着纸巾在桌面上大幅度擦桌子。
same,3_sure,recording_000057_batch3_raw_change_peak_t149.0,recording_000057_batch3_raw_change_peak_t149.0.mp4,同一个动作：双手按着纸巾在桌面上大幅度擦桌子。
interval,3_sure,recording_000006_batch3_raw_change_peak_t393.0,recording_000006_batch3_raw_change_peak_t393.0.mp4,扫帚把垃圾扫进簸箕；下一阶段左手持簸箕把垃圾倒在地上，再由右手扫回簸箕。倒出前约0.5s滞空，存在短过渡区间。
interval,3_sure,recording_000218_batch3_gt_boundary_t123.1,recording_000218_batch3_gt_boundary_t123.1.mp4,双手把两只拖鞋放入桌子抽屉；随后依次取出再放回。拖鞋放入抽屉后停留约1秒，两个动作实例之间形成过渡区间。
interval,3_sure,recording_000170_batch3_gt_boundary_t634.0,recording_000170_batch3_gt_boundary_t634.0.mp4,下水道塞子冲洗并放回，双手明显离开水槽；随后再次取出塞子冲洗并放回。两次动作之间有明显idle/离手间隔。
interval,3_sure,recording_000019_batch3_gt_boundary_t112.5,recording_000019_batch3_gt_boundary_t112.5.mp4,反复将杯子左→右、右→左移动；两个动作之间手短暂idle。
same,3_sure,recording_000002_batch3_raw_change_peak_t602.0,recording_000002_batch3_raw_change_peak_t602.0.mp4,同一个动作：打开塑料箱子盖子再合上。
same,3_sure,recording_000191_batch3_gt_boundary_t49.0,recording_000191_batch3_gt_boundary_t49.0.mp4,左右手各拿一只碗，交替把一只碗放到另一只碗上再拿下，循环重复；属于同一个动作。
