event_id,temporal_pair_subtype,pair_supervision
recording_000035_batch3_gt_boundary_t473.0,sharp_visible_transition,strong_separate
recording_000019_batch3_gt_boundary_t173.0,same_action_internal_motion,strong_align
recording_000154_batch3_gt_boundary_t223.5,visibility_or_offscreen,exclude
recording_000001_batch3_gt_boundary_t412.8,same_action_internal_motion,strong_align
recording_000219_batch3_gt_boundary_t427.0,sharp_visible_transition,strong_separate
recording_000056_batch3_gt_boundary_t209.5,visibility_or_offscreen,exclude
recording_000156_batch3_gt_boundary_t254.0,gradual_phase_transition,soft_transition
recording_000103_batch3_gt_boundary_t333.0,same_action_internal_motion,strong_align
recording_000056_batch3_gt_boundary_t261.0,same_action_internal_motion,strong_align
recording_000201_batch3_gt_boundary_t132.1,sharp_visible_transition,strong_separate
recording_000029_batch3_gt_boundary_t519.0,gradual_phase_transition,soft_transition
recording_000025_batch3_gt_boundary_t413.5,sharp_visible_transition,strong_separate
recording_000007_batch3_gt_boundary_t345.7,visibility_or_offscreen,exclude
recording_000195_batch3_gt_boundary_t407.2,same_action_internal_motion,strong_align
recording_000149_batch3_gt_boundary_t193.2,same_action_internal_motion,strong_align
recording_000146_batch3_gt_boundary_t524.0,camera_or_viewpoint_shift,exclude
recording_000155_batch3_gt_boundary_t195.2,sharp_visible_transition,strong_separate
recording_000049_batch3_gt_boundary_t94.5,gradual_phase_transition,soft_transition
recording_000170_batch3_gt_boundary_t634.0,sharp_visible_transition,strong_separate
recording_000067_batch3_gt_boundary_t440.5,sharp_visible_transition,strong_separate
recording_000149_batch3_gt_boundary_t141.0,annotation_convention,exclude
recording_000008_batch3_gt_boundary_t163.0,same_action_internal_motion,strong_align
recording_000099_batch3_gt_boundary_t474.0,same_action_internal_motion,strong_align
recording_000172_batch3_gt_boundary_t346.6,same_action_internal_motion,strong_align
recording_000187_batch3_gt_boundary_t319.3,same_action_internal_motion,strong_align
recording_000096_batch3_gt_boundary_t516.0,same_action_internal_motion,strong_align
recording_000074_batch3_gt_boundary_t200.0,visibility_or_offscreen,exclude
recording_000139_batch3_gt_boundary_t572.1,sharp_visible_transition,strong_separate
recording_000177_batch3_gt_boundary_t189.0,camera_or_viewpoint_shift,exclude
recording_000069_batch3_gt_boundary_t330.0,visibility_or_offscreen,exclude
recording_000144_batch3_gt_boundary_t40.5,same_action_internal_motion,strong_align
recording_000153_batch3_gt_boundary_t149.9,same_action_internal_motion,strong_align
recording_000006_batch3_gt_boundary_t229.0,same_action_internal_motion,strong_align
recording_000173_batch3_gt_boundary_t161.6,same_action_internal_motion,strong_align
recording_000088_batch3_gt_boundary_t371.0,gradual_phase_transition,soft_transition
recording_000121_batch3_gt_boundary_t179.5,sharp_visible_transition,strong_separate
recording_000207_batch3_gt_boundary_t412.0,gradual_phase_transition,soft_transition
recording_000100_batch3_gt_boundary_t476.0,same_action_internal_motion,strong_align
recording_000170_batch3_gt_boundary_t659.4,sharp_visible_transition,strong_separate
recording_000214_batch3_gt_boundary_t521.0,sharp_visible_transition,strong_separate
recording_000214_batch3_gt_boundary_t26.8,same_action_internal_motion,strong_align
recording_000215_batch3_gt_boundary_t79.5,sharp_visible_transition,strong_separate
recording_000141_batch3_gt_boundary_t203.5,gradual_phase_transition,soft_transition
recording_000179_batch3_gt_boundary_t688.5,sharp_visible_transition,strong_separate
recording_000104_batch3_gt_boundary_t392.0,same_action_internal_motion,strong_align
recording_000074_batch3_gt_boundary_t182.0,visibility_or_offscreen,exclude
recording_000211_batch3_gt_boundary_t322.2,visibility_or_offscreen,exclude
recording_000216_batch3_gt_boundary_t574.0,visibility_or_offscreen,exclude
recording_000218_batch3_gt_boundary_t123.1,same_action_internal_motion,strong_align
recording_000025_batch3_gt_boundary_t112.0,sharp_visible_transition,strong_separate
recording_000156_batch3_gt_boundary_t46.0,visibility_or_offscreen,exclude
recording_000127_batch3_gt_boundary_t304.0,same_action_internal_motion,strong_align
recording_000202_batch3_gt_boundary_t49.0,same_action_internal_motion,strong_align
recording_000056_batch3_gt_boundary_t277.0,same_action_internal_motion,strong_align
recording_000189_batch3_gt_boundary_t296.7,same_action_internal_motion,strong_align
recording_000141_batch3_gt_boundary_t450.0,same_action_internal_motion,strong_align
recording_000027_batch3_gt_boundary_t541.0,sharp_visible_transition,strong_separate
recording_000071_batch3_gt_boundary_t160.5,same_action_internal_motion,strong_align
recording_000209_batch3_gt_boundary_t435.3,same_action_internal_motion,strong_align
recording_000209_batch3_gt_boundary_t155.0,same_action_internal_motion,strong_align
recording_000192_batch3_gt_boundary_t485.6,gradual_phase_transition,soft_transition
recording_000151_batch3_gt_boundary_t64.0,same_action_internal_motion,strong_align
recording_000127_batch3_gt_boundary_t93.0,same_action_internal_motion,strong_align
recording_000141_batch3_gt_boundary_t388.5,same_action_internal_motion,strong_align
recording_000006_batch3_gt_boundary_t77.3,same_action_internal_motion,strong_align
recording_000135_batch3_gt_boundary_t559.0,gradual_phase_transition,soft_transition
recording_000152_batch3_gt_boundary_t9.5,same_action_internal_motion,strong_align
recording_000153_batch3_gt_boundary_t223.5,same_action_internal_motion,strong_align
recording_000125_batch3_gt_boundary_t386.0,same_action_internal_motion,strong_align
recording_000149_batch3_gt_boundary_t488.2,same_action_internal_motion,strong_align
recording_000088_batch3_gt_boundary_t275.0,same_action_internal_motion,strong_align
recording_000205_batch3_gt_boundary_t77.5,same_action_internal_motion,strong_align
recording_000138_batch3_gt_boundary_t569.0,sharp_visible_transition,strong_separate
recording_000025_batch3_gt_boundary_t516.0,sharp_visible_transition,strong_separate
recording_000131_batch3_gt_boundary_t172.8,same_action_internal_motion,strong_align
recording_000187_batch3_gt_boundary_t112.0,same_action_internal_motion,strong_align
recording_000072_batch3_gt_boundary_t629.0,sharp_visible_transition,strong_separate
recording_000209_batch3_gt_boundary_t358.5,gradual_phase_transition,soft_transition
recording_000120_batch3_gt_boundary_t32.1,sharp_visible_transition,strong_separate
recording_000170_batch3_gt_boundary_t528.2,annotation_convention,exclude
recording_000186_batch3_gt_boundary_t525.5,annotation_convention,exclude
recording_000212_batch3_gt_boundary_t502.2,gradual_phase_transition,soft_transition
recording_000019_batch3_gt_boundary_t112.5,same_action_internal_motion,strong_align
recording_000114_batch3_gt_boundary_t498.0,sharp_visible_transition,strong_separate
recording_000068_batch3_gt_boundary_t57.5,sharp_visible_transition,strong_separate
recording_000208_batch3_gt_boundary_t610.5,same_action_internal_motion,strong_align
recording_000072_batch3_gt_boundary_t269.5,visibility_or_offscreen,exclude
recording_000182_batch3_gt_boundary_t14.0,sharp_visible_transition,strong_separate
recording_000008_batch3_gt_boundary_t650.1,same_action_internal_motion,strong_align
recording_000005_batch3_gt_boundary_t104.0,camera_or_viewpoint_shift,exclude
recording_000209_batch3_gt_boundary_t257.0,same_action_internal_motion,strong_align
recording_000101_batch3_gt_boundary_t429.5,same_action_internal_motion,strong_align
recording_000200_batch3_gt_boundary_t358.8,visibility_or_offscreen,exclude
recording_000101_batch3_gt_boundary_t48.0,same_action_internal_motion,strong_align
recording_000207_batch3_gt_boundary_t472.0,same_action_internal_motion,strong_align
recording_000169_batch3_gt_boundary_t350.0,sharp_visible_transition,strong_separate
recording_000141_batch3_gt_boundary_t305.0,same_action_internal_motion,strong_align
recording_000165_batch3_gt_boundary_t464.8,visibility_or_offscreen,exclude
recording_000108_batch3_gt_boundary_t517.5,same_action_internal_motion,strong_align
recording_000013_batch3_gt_boundary_t516.0,sharp_visible_transition,strong_separate
recording_000027_batch3_gt_boundary_t142.0,sharp_visible_transition,strong_separate
recording_000077_batch3_gt_boundary_t328.0,sharp_visible_transition,strong_separate
recording_000180_batch3_gt_boundary_t392.5,same_action_internal_motion,strong_align
recording_000145_batch3_gt_boundary_t558.0,gradual_phase_transition,soft_transition
recording_000157_batch3_gt_boundary_t580.1,sharp_visible_transition,strong_separate
recording_000206_batch3_gt_boundary_t210.5,sharp_visible_transition,strong_separate
recording_000177_batch3_gt_boundary_t174.5,sharp_visible_transition,strong_separate
recording_000191_batch3_gt_boundary_t49.0,same_action_internal_motion,strong_align
recording_000050_batch3_gt_boundary_t291.5,gradual_phase_transition,soft_transition
recording_000127_batch3_gt_boundary_t220.0,same_action_internal_motion,strong_align
recording_000200_batch3_gt_boundary_t192.0,visibility_or_offscreen,exclude
recording_000127_batch3_gt_boundary_t572.1,visibility_or_offscreen,exclude
recording_000158_batch3_gt_boundary_t622.5,gradual_phase_transition,soft_transition
recording_000075_batch3_gt_boundary_t191.5,same_action_internal_motion,strong_align
recording_000097_batch3_gt_boundary_t176.5,same_action_internal_motion,strong_align
recording_000081_batch3_gt_boundary_t397.0,visibility_or_offscreen,exclude
recording_000019_batch3_gt_boundary_t9.5,same_action_internal_motion,strong_align
recording_000149_batch3_gt_boundary_t101.6,same_action_internal_motion,strong_align
recording_000108_batch3_gt_boundary_t337.0,same_action_internal_motion,strong_align
recording_000141_batch3_gt_boundary_t408.5,same_action_internal_motion,strong_align
recording_000202_batch3_raw_change_peak_t712.0,camera_or_viewpoint_shift,exclude
recording_000204_batch3_raw_change_peak_t484.0,gradual_phase_transition,soft_transition
recording_000048_batch3_raw_change_peak_t96.0,sharp_visible_transition,strong_separate
recording_000182_batch3_raw_change_peak_t543.0,same_action_internal_motion,strong_align
recording_000218_batch3_raw_change_peak_t366.0,same_action_internal_motion,strong_align
recording_000184_batch3_raw_change_peak_t512.0,sharp_visible_transition,strong_separate
recording_000068_batch3_raw_change_peak_t464.0,gradual_phase_transition,soft_transition
recording_000121_batch3_raw_change_peak_t556.0,same_action_internal_motion,strong_align
recording_000101_batch3_raw_change_peak_t145.0,same_action_internal_motion,strong_align
recording_000195_batch3_raw_change_peak_t110.0,same_action_internal_motion,strong_align
recording_000152_batch3_raw_change_peak_t553.0,same_action_internal_motion,strong_align
recording_000219_batch3_raw_change_peak_t87.0,same_action_internal_motion,strong_align
recording_000055_batch3_raw_change_peak_t560.0,camera_or_viewpoint_shift,exclude
recording_000020_batch3_raw_change_peak_t67.0,sharp_visible_transition,strong_separate
recording_000212_batch3_raw_change_peak_t248.0,gradual_phase_transition,soft_transition
recording_000100_batch3_raw_change_peak_t646.0,gradual_phase_transition,soft_transition
recording_000096_batch3_raw_change_peak_t185.0,same_action_internal_motion,strong_align
recording_000197_batch3_raw_change_peak_t32.0,gradual_phase_transition,soft_transition
recording_000029_batch3_raw_change_peak_t163.0,gradual_phase_transition,soft_transition
recording_000092_batch3_raw_change_peak_t529.0,sharp_visible_transition,strong_separate
recording_000153_batch3_raw_change_peak_t241.0,same_action_internal_motion,strong_align
recording_000081_batch3_raw_change_peak_t398.0,visibility_or_offscreen,exclude
recording_000005_batch3_raw_change_peak_t513.0,camera_or_viewpoint_shift,exclude
recording_000179_batch3_raw_change_peak_t324.0,gradual_phase_transition,soft_transition
recording_000058_batch3_raw_change_peak_t585.0,gradual_phase_transition,soft_transition
recording_000205_batch3_raw_change_peak_t420.0,same_action_internal_motion,strong_align
recording_000169_batch3_raw_change_peak_t169.0,same_action_internal_motion,strong_align
recording_000189_batch3_raw_change_peak_t137.0,same_action_internal_motion,strong_align
recording_000042_batch3_raw_change_peak_t234.0,same_action_internal_motion,strong_align
recording_000096_batch3_raw_change_peak_t608.0,same_action_internal_motion,strong_align
recording_000190_batch3_raw_change_peak_t524.0,same_action_internal_motion,strong_align
recording_000091_batch3_raw_change_peak_t343.0,visibility_or_offscreen,exclude
