your_call(sharp|same|cannot),confidence(1_guess|2_lean|3_sure),event_id,answer(1_hand_kinematic|2_object_relative|3_semantic_context|4_not_resolvable),what_evidence_would_settle_it,notes
same,3_sure,recording_000019_batch3_gt_boundary_t112.5,,,
sharp,3_sure,recording_000205_batch3_gt_boundary_t77.5,,,
same,3_sure,recording_000212_batch3_raw_change_peak_t228.0,,,
same,3_sure,recording_000019_batch3_gt_boundary_t9.5,,,
sharp,3_sure,recording_000172_batch3_raw_change_peak_t374.0,,,
sharp,3_sure,recording_000155_batch3_raw_change_peak_t228.0,,,
same,3_sure,recording_000431_false_mid_segment_t470.5,,,
same,3_sure,recording_000422_false_mid_segment_t561.0,,,
sharp,3_sure,recording_000180_batch3_raw_change_peak_t71.0,,,
same,3_sure,recording_000102_false_mid_segment_t439.0,,,
sharp,3_sure,recording_000126_batch3_raw_change_peak_t225.0,,,
same,3_sure,recording_000105_false_gap_t501.5,,,
same,3_sure,recording_000187_batch3_raw_change_peak_t367.0,,,
same,3_sure,recording_000006_batch3_raw_change_peak_t468.0,,,
same,3_sure,recording_000008_batch3_gt_boundary_t650.1,,,
cannot,3_sure,recording_000056_batch3_gt_boundary_t261.0,,,
same,3_sure,recording_000008_batch3_gt_boundary_t163.0,,,
sharp,3_sure,recording_000219_batch3_gt_boundary_t427.0,,,
same,3_sure,recording_000169_batch3_gt_boundary_t350.0,,,
sharp,3_sure,recording_000236_missed_signal_present_not_top_t572.8,,,
same,3_sure,recording_000102_missed_weak_signal_t95.0,,,
sharp,3_sure,recording_000201_batch3_raw_change_peak_t498.0,,,
sharp,3_sure,recording_000250_duplicate_t645.0,,,
sharp,3_sure,recording_000024_batch3_raw_change_peak_t584.0,,,
sharp,3_sure,recording_000184_batch3_raw_change_peak_t512.0,,,
same,3_sure,recording_000188_false_gap_t456.0,,,
same,3_sure,recording_000150_false_mid_segment_t498.5,,,
same,3_sure,recording_000030_late_t387.5,,,
sharp,3_sure,recording_000213_false_gap_t242.5,,,
same,3_sure,recording_000134_false_near_edge_t562.5,,,
same,3_sure,recording_000025_batch3_gt_boundary_t112.0,,,
sharp,3_sure,recording_000422_missed_signal_present_not_top_t312.7,,,
sharp,3_sure,recording_000325_missed_signal_present_not_top_t32.5,,,
cannot,3_sure,recording_000419_false_near_edge_t309.5,,,
sharp,3_sure,recording_000061_early_t167.3,,,
cannot,3_sure,recording_000072_batch3_gt_boundary_t629.0,,,
