audit_key,actual_action_summary,existing_label_summary,claim_support,granularity,major_action_missing,action_presence,segment_structure,upstream_timing_issue,human_boundary_note,semantic_audit_note
22/t466.8,scrub cup interior -> rinse cup -> place cup on table,Scrub interior / Rinse / Place washed mug,yes,too_fine,no,valid_action,oversegmented,yes,469,"All stated actions are correct, but the stored ontology splits one frozen task-level action into finer phases."
30/t556,"move cup left->right, release; move right->left, release; repeat",Repeated 'Reposition water bottle on table',yes,too_coarse,no,valid_action,oversegmented,yes,555.8-557,Semantic action is correct; label omits directional detail that the adopted naming granularity should preserve.
37/t156,scrub cup -> rinse under faucet -> place on table -> idle -> rinse again,Scrub mug interior / Rinse mug / Rinse mug,yes,adequate,yes,valid_action,undersegmented,yes,164.5,"Stated scrub/rinse claims are supported, but the task-level place-cup action is missing."
53/t486,take one new tissue; afterward no effective action,Take tissue / Fill dark bottles / Empty dark bottles,partial,not_applicable,no,mixed_action_and_no_action,spurious_no_action,yes,473.5,Tissue retrieval is supported; later bottle claims are unsupported over a no-action region.
61/t590,no effective action,Bottle manipulation / Bottle manipulation / Place tissue pack,no,not_applicable,no,no_valid_action,spurious_no_action,yes,,No effective action is visible; action labels are unsupported.
102/t164.5,"wipe table with tissue, large strokes -> small strokes",Fold and crease sheet edge x3,no,not_applicable,yes,valid_action,oversegmented,yes,166,The label misses the actual wiping action and oversegments the continuous task.
102/t484,"wipe table with tissue, small strokes -> large strokes",Fold and unfold tissue x3,no,not_applicable,yes,valid_action,oversegmented,yes,497,The label describes folding instead of wiping and the segment is overcut.
102/t95,"wipe table with tissue, large strokes -> small strokes",Fold and unfold paper sheet x3,no,not_applicable,yes,valid_action,oversegmented,yes,95,"There is a visible motion-phase change, but the semantic label is wrong."
110/t504,squeegee around sink -> hang squeegee -> rinse/splash by hand -> squeegee again,Fine-grained wipe regions / hand rinsing / second squeegee session,yes,mixed_inconsistent,yes,valid_action,undersegmented,yes,~493; ~506,"Broad semantic claims are supported, but granularity is inconsistent and hanging the squeegee is omitted."
134/t130,"fold/stack one tissue, then fold/stack a second tissue",Three 'fold compact rectangle' segments; second tissue assigned too early,partial,adequate,no,valid_action,adequate,yes,154,"Some fold claims are valid, but at least one label is assigned to the wrong actual segment; upstream timing issue remains an explanation, not an excuse."
134/t562.5,fold and stack tissue #1 -> #2 -> #3,Fold one tissue sheet and stack it x3,yes,adequate,no,valid_action,adequate,no,562; 574,Semantic and repeated-instance structure are appropriate.
176/t90.5,remove/rinse/reseat sink strainer as one frozen task-level action,Remove strainer / Rinse / Install strainer,yes,too_fine,no,valid_action,oversegmented,yes,89.4-91.4,Substeps are real but finer than the adopted task-level action.
181/t73.5,rinse and reseat strainer; release; repeat rinse/reseat,Clean strainer / Rinse and reseat / Rinse and reseat,yes,mixed_inconsistent,no,valid_action,adequate,no,72; 93,Semantics are broadly right; naming granularity is inconsistent across adjacent instances.
181/t233,idle -> rinse/reseat -> release -> repeat rinse/reseat,Clean sink drain strainer x3,yes,too_coarse,no,valid_action,adequate,yes,223; 231; 240,"Reset/idle is boundary evidence, not semantic missing information; 'clean' is coarser than the adopted naming detail."
188/t456,inspect/repack first charger -> second box/charger -> return to first,Unbox/inspect first charger; inspect first charger; repack first box,no,adequate,yes,valid_action,mixed,yes,455; ~480,"For the actual model segments, the semantic labels do not match the actions occurring there; upstream segmentation is also wrong."
213/t230.5,four repeated rinse-and-seat strainer instances separated by release,Rinse and seat sink strainer x4,yes,adequate,no,valid_action,oversegmented,yes,230; 238; 250.8; 263.5,Semantic action is correct; stored segment structure includes an extra/misaligned cut.
213/t242.5,repeated rinse-and-seat strainer instances separated by release,Rinse and seat / Rinse and seat / Clean and replace,partial,mixed_inconsistent,no,valid_action,mixed,yes,239; 251; 263,"Most semantics are supported, but 'clean and replace' is not the adopted canonical description; reset stays in boundary ontology."
220/t137.8,"continuous slipper 90-degree flip/return cycles, no disengagement",Slipper pair flip cycle x2,yes,too_fine,no,valid_action,oversegmented,yes,136.3; 138.2; 141.8 (motion-phase only),"Frozen task-level ontology treats this as one continuous instance; listed times are motion-phase changes, not task-level boundaries."
220/t289.5,continuous slipper flip/return cycles,Display upper side / footbed / upper / footbed,no,too_fine,yes,valid_action,oversegmented,yes,287.1; 293 (motion-phase only),"The task is a flip cycle, not a sequence of static display actions; duplicate temporal labels also appear."
230/t404.5,unbox item -> disassemble/store box -> retrieve/reassemble -> repack item,Unbox USB / Disassemble-store box / Retrieve-reassemble / Repack USB,yes,adequate,no,valid_action,adequate,yes,379; 396; 418,Semantics are broadly correct; main issue is timing offset.
230/t397,unbox item -> disassemble/store box -> retrieve/reassemble,Unbox USB / Disassemble-store box / Retrieve-reassemble,yes,adequate,no,valid_action,adequate,yes,379; 396; 418,Semantics are broadly correct; main issue is timing offset.
236/t572.8,remove item -> flip/open box -> remove tape -> disassemble -> bag box,Retrieve USB / Close box flaps / Dispose box in bag,partial,mixed_inconsistent,yes,valid_action,undersegmented,yes,571; 580,"Some endpoint actions are supported, but key disassembly/opening content is omitted or mislabeled."
242/t352,seal box with tape -> flip box -> place blue item inside,Seal second box / Unseal and open second box,partial,adequate,yes,valid_action,adequate,no,352,Seal claim is supported; 'unseal/open' is wrong and the actual place-item action is missing.
250/t629.5,seal box bottom -> place keychain -> seal box top,Seal bottom / Place keychain / Seal top,yes,adequate,no,valid_action,adequate,no,625; 630,Semantic labels and structure are appropriate.
265/t88,retrieve flat box -> assemble -> seal/opening -> place item -> seal box,Remove box from bag / Pack USB into box and seal,partial,too_coarse,yes,valid_action,undersegmented,yes,89.5; 103; 115,The label compresses several adopted task-level phases and omits assembly detail.
265/t298.5,seal box opening with tape,Reassemble box / Open box / Begin sealing box,partial,adequate,no,valid_action,oversegmented,yes,297,Seg0 cannot be fully judged; seg1 is wrong; seg2 is supported; seg1->seg2 should not be a separate task-level cut.
272/t618,remove tape/open box -> remove item -> flip/open -> disassemble -> bag -> idle -> retrieve box,Remove tape / Store box in bag / Retrieve box,yes,too_coarse,yes,valid_action,undersegmented,yes,621.5-624,"Stated claims are supported, but important task-level steps are omitted and naming is too coarse."
282/t544.5,seal box -> flip/open -> place item,Reassemble for sealing / Flip-open flaps / Place USB,yes,adequate,no,valid_action,adequate,no,543; 544.5,Semantic labels are broadly correct.
327/t386.5,pour liquid -> spread/stir -> release -> repeat pouring cycles,Pour liquid / Apply-spread / Apply-spread,yes,adequate,no,valid_action,adequate,yes,376; 387; 396,Semantic labels are broadly correct; repeated-instance timing is offset.
343/t547,repeated pour/apply/spread cycles separated by release,Apply liquid with brush and bottle x2 / application cycle,yes,adequate,no,valid_action,adequate,yes,541; 553.7; 563,Semantic labels are broadly correct; stored reset timing is misaligned.
343/t222.5,repeated pour/apply/spread cycles separated by release,Apply liquid to pan with brush x3,yes,adequate,no,valid_action,adequate,yes,230; 236,Semantic labels are broadly correct; stored reset timing is misaligned.
385/t577.5,remove/crumple/discard wrap -> cover bowl -> remove wrap again,Fold/press wrap to seal / Cover bowl with new wrap,partial,mixed_inconsistent,yes,valid_action,undersegmented,yes,572; 637,First semantic claim is wrong and the third task-level action is missing.
388/t67.5,cover bowl with wrap -> remove/discard wrap,Cover bowl / Remove and discard wrap,yes,adequate,no,valid_action,adequate,yes,94.8,Semantic labels are correct; boundary timing is slightly offset.
388/t601.8,cover/secure bowl wrap -> later remove wrap,Unroll/apply wrap / Secure wrap / downstream label as stored,yes,too_fine,no,valid_action,oversegmented,yes,573.5,User explicitly judged the semantics correct; main failure is over-segmentation and timing.
391/t242.5,coil cable -> release -> uncoil -> release -> recoil,Fold/place cable / Uncoil cable / Recoil cable,yes,adequate,no,valid_action,adequate,no,241.7; 252.5,Semantic labels and repeated-instance structure are appropriate.
406/t490.3,cover bowl with plastic wrap as one continuous task,Handle roll / Position wrap / Secure rim,yes,too_fine,no,valid_action,oversegmented,yes,473 onset; no later task boundary,All subclaims are plausible phases of one frozen task-level action.
