stored_label,occurrences,draft_actions,draft_entities,draft_temporal,parser_flags,corrected_actions,corrected_entities,corrected_temporal,note
Slipper pair flip cycle,5,slipper(e1),e1=pair flip cycle,,"verb_position_uncertain,unknown_verbs:slipper",flip(e1)[{'pattern':'cycle'}],slipper pair,,Noun 'slipper' was parsed as the verb; the claimed action is a flip cycle.
Paper fold-unfold cycle,2,paper(e1),e1=fold unfold cycle,,"verb_position_uncertain,unknown_verbs:paper","fold(e1)
unfold(e1)",paper,"before(a1,a2)",Noun 'paper' was parsed as the verb; the label claims fold then unfold.
8th tissue fold and press,1,th(e1) ; press(e1),e1=tissue fold,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,verb_position_uncertain,unknown_verbs:th","fold(e1)[{'instance':'eighth'}]
press(e1)",tissue,"before(a1,a2)",Ordinal suffix was parsed as the first verb; the actions are fold then press.
9th tissue fold and press,1,th(e1) ; press(e1),e1=tissue fold,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,verb_position_uncertain,unknown_verbs:th","fold(e1)[{'instance':'ninth'}]
press(e1)",tissue,"before(a1,a2)",Ordinal suffix was parsed as the first verb; the actions are fold then press.
Adjusting bowl and plastic wrap position,1,adjusting(e1) ; plastic(e2),e1=bowl ; e2=wrap position,"before(a1,a2):inferred","order_inferred_from_and,verb_position_uncertain,unknown_verbs:adjusting/plastic","adjust(e1)
adjust(e2)","bowl
plastic wrap",none,'plastic' was incorrectly parsed as a verb; the label adjusts two entities and does not assert a strict order.
Briefly open and close box flaps,1,briefly(e1) ; close(e2),e1=open ; e2=box flaps,"before(a1,a2):inferred","order_inferred_from_and,verb_position_uncertain,unknown_verbs:briefly","open(e1)[{'duration':'brief'}]
close(e1)[{'duration':'brief'}]",box flaps,"before(a1,a2)",Adverb 'briefly' was parsed as a verb; the actions are open then close.
Flatten empty box,1,flatten(e1),e1=empty box,,"verb_position_uncertain,unknown_verbs:flatten",,,,
Flatten empty box and stow in plastic bag,1,flatten(e1) ; stow(e2),e1=empty box ; e2=plastic bag,"before(a1,a2):inferred","order_inferred_from_and,verb_position_uncertain,unknown_verbs:flatten/stow","flatten(e1)
stow(e1)[{'destination':'plastic bag'}]",empty box,,The draft made the bag the object of stow; both actions apply to the box.
Fold and tuck plastic wrap around bowl sides to seal,1,fold(e1) ; tuck(e1),e1=plastic wrap around bowl sides seal,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,verb_position_uncertain,unknown_verbs:tuck","fold(e1)[{'target':'bowl','region':'sides'}]
tuck(e1)[{'target':'bowl','region':'sides','goal':'seal'}]",plastic wrap,,"Bowl/sides/seal are target/region/goal qualifiers, not part of the entity."
Initiate additional mug rinse,1,initiate(e1),e1=additional mug rinse,,"verb_position_uncertain,unknown_verbs:initiate","rinse(e1)[{'phase':'initiation','instance':'additional'}]",mug,,'Initiate' scopes the rinse event; the semantic action is rinsing the mug.
Move water bottle from left to center position,1,move(e1)[{'region': 'left'}],e1=water bottle center position,,"verb_position_uncertain,unknown_verbs:move","move(e1)[{'source_position':'left','destination_position':'center'}]",water bottle,,The draft encoded only 'left' as a region and merged the destination into the entity.
Post-scrub mug rinse,1,post(e1),e1=scrub mug rinse,,"verb_position_uncertain,unknown_verbs:post","scrub(e1)
rinse(e1)",mug,"before(a1,a2)",'Post-scrub' expresses a prior scrub; 'post' is not an action verb.
Retrieving sheet from pack,1,retrieving(e1),e1=sheet pack,,"verb_position_uncertain,unknown_verbs:retrieving",retrieve(e1)[{'source':'pack'}],sheet,,Inflected/noun-like form was kept as the verb; normalized to the underlying action and cleaned the object phrase.
fold and unfold tissue,8,fold(e1) ; unfold(e1),e1=tissue,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:unfold",,,,
Apply liquid to pan and spread with brush,7,apply(e1) ; spread(e1)[{'instrument': 'brush'}],e1=liquid pan,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:apply","apply(e1)[{'material':'liquid'}]
spread(e1)[{'material':'liquid','instrument':'brush'}]",pan,,The draft merged material ('liquid') with the target object ('pan').
Fold and crease sheet edge,5,fold(e1) ; crease(e1)[{'region': 'edge'}],e1=sheet,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Fold one tissue sheet and stack it,4,fold(e1) ; stack(e1),e1=one tissue sheet,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,tissue sheet,,"'one' is an instance/count descriptor, not part of the entity name."
Remove and discard plastic wrap from bowl,4,remove(e1) ; discard(e1),e1=plastic wrap bowl,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:discard","remove(e1)[{'source':'bowl'}]
discard(e1)",plastic wrap,,"The bowl is the source of removal, not part of the plastic-wrap entity name."
Rinse and re-seat sink strainer,4,rinse(e1) ; seat(e1),e1=sink strainer,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:seat",,,,
Clean and reinstall sink strainer,3,clean(e1) ; reinstall(e1),e1=sink strainer,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:reinstall",,,,
Position bowl and cover with wrap,3,position(e1) ; cover(e1)[{'instrument': 'wrap'}],e1=bowl,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Rinse and reseat sink drain strainer,3,rinse(e1) ; reseat(e1),e1=sink drain strainer,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:reseat",,,,
Rinse and seat sink strainer,3,rinse(e1) ; seat(e1),e1=sink strainer,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:seat",,,,
Unroll and tear plastic wrap sheet,3,unroll(e1) ; tear(e1),e1=plastic wrap sheet,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:unroll",,,,
Clean and replace sink drain strainer,2,clean(e1) ; replace(e1),e1=sink drain strainer,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Clean sink drain strainer and wipe sink basin,2,clean(e1) ; wipe(e2),e1=sink drain strainer ; e2=sink basin,"before(a1,a2):inferred",order_inferred_from_and,,,none,The conjunction lists two actions on different objects; the label does not itself assert a strict temporal order.
Crumple and discard a tissue,2,crumple(e1) ; discard(e1),e1=tissue,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:crumple/discard",,,,
Crumple and discard used plastic wrap,2,crumple(e1) ; discard(e1),e1=used plastic wrap,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:crumple/discard",,,,
Disassemble and store cardboard box,2,disassemble(e1) ; store(e1),e1=cardboard box,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:disassemble",,,,
Fold and press plastic wrap to seal,2,fold(e1) ; press(e1),e1=plastic wrap seal,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Fold and unfold a paper sheet,2,fold(e1) ; unfold(e1),e1=paper sheet,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:unfold",,,,
Place plastic wrap over bowl and smooth,2,place(e1) ; smooth(e1),e1=plastic wrap bowl,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:smooth","place(e1)[{'target':'bowl'}]
smooth(e1)[{'target':'bowl'}]",plastic wrap,,"The bowl is a target/location, not part of the plastic-wrap entity."
Pour liquid and spread in pan with brush,2,pour(e1) ; spread(e2)[{'instrument': 'brush'}],e1=liquid ; e2=pan,"before(a1,a2):inferred",order_inferred_from_and,"pour(e1)[{'destination':'e2'}]
spread(e1)[{'location':'e2','instrument':'brush'}]","liquid
pan",,"The second action spreads the liquid in the pan; the pan is a location/target, not the thing being spread."
Remove excess plastic wrap and finalize wrapping,2,remove(e1) ; finalize(e2),e1=excess plastic wrap ; e2=wrapping,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:finalize",,,,
"Remove, rinse and reseat sink strainer",2,remove(e1) ; rinse(e1) ; reseat(e1),e1=sink strainer,"before(a1,a2):inferred ; before(a2,a3):inferred","object_inherited,order_inferred_from_and,unknown_verbs:reseat",,,,
Wipe table and discard used tissue,2,wipe(e1) ; discard(e2),e1=table ; e2=used tissue,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:discard",,,,
