audit_key,recording_id,candidate_time,timing_type,human_boundary_points_json,human_boundary_intervals_json,canonical_times_json,nearest_canonical_time,gradual,timing_note
5/t513,recording_000005,513.0,interval,[],"[[512.0, 515.0]]",[513.5],513.5,False,右手把一双拖鞋放到画面中，视线移开，后面右手拿回拖鞋；切换区间为视线移开阶段。
6/t468,recording_000006,468.0,multiple_points,"[468.0, 470.0]",[],"[468.0, 470.0]",468.0,False,把垃圾扫进笤帚/簸箕后倒出，再继续扫入；468s倒出，470s重新开始扫入。
11/t352,recording_000011,352.0,multiple_points,"[352.0, 359.0]",[],"[352.0, 359.0]",352.0,False,数据线操作中两次明确释放并idle；352s第一次离开，359s第二次离开后再开始缠线。
13/t516,recording_000013,516.0,interval,[],"[[516.0, 518.0]]",[517.0],517.0,False,双手把水瓶从右移到左，随后离开水瓶idle，再伸向水瓶。
19/t9.5,recording_000019,9.5,multiple_points,"[7.5, 9.5]",[],"[7.5, 9.5]",9.5,False,水瓶左右移动循环；两次手离开水瓶idle分别约7.5s和9.5s。
19/t112.5,recording_000019,112.5,point,[112.0],[],[112.0],112.0,False,水瓶从右移到左后手离开idle，再从左移到右。
20/t67,recording_000020,67.0,point,[66.0],[],[66.0],66.0,False,杯子接水/rinse、倒水、放桌上后，继续下一轮接水；切换约66s。
23/t333,recording_000023,333.0,multiple_mixed,[343.0],"[[333.0, 335.0]]","[334.0, 343.0]",334.0,False,充电线缠好后释放idle再打开；第一次切换333–335s，第二次343s。
24/t584,recording_000024,584.0,interval,[],"[[584.0, 586.0]]",[585.0],585.0,False,挤海绵并放桌面、手离开idle，随后拿碗到水龙头下接水。
25/t413.5,recording_000025,413.5,interval,[],"[[413.5, 415.0]]",[414.25],414.25,False,水瓶左右移动循环，中间手离开水瓶idle。
25/t516,recording_000025,516.0,interval,[],"[[516.0, 517.0]]",[516.5],516.5,False,水瓶从右移到左，手离开idle，再从左移到右。
26/t206,recording_000026,206.0,multiple_points,"[200.0, 206.0]",[],"[200.0, 206.0]",206.0,False,充电线缠好、释放idle、打开，再离开idle并重新开始缠线。
27/t541,recording_000027,541.0,point,[541.0],[],[541.0],541.0,False,水瓶左右移动循环，中间手离开水瓶idle。
29/t442,recording_000029,442.0,multiple_points,"[443.0, 451.5]",[],"[443.0, 451.5]",443.0,False,伞缠好后双手离开并打开伞面；再次离开后重新开始缠伞。
33/t566,recording_000033,566.0,multiple_mixed,"[559.0, 573.0]","[[567.0, 570.0]]","[559.0, 568.5, 573.0]",568.5,False,挤海绵→拿碗接水/rinse→idle→再次rinse→拿海绵擦碗；三处切换559s、567–570s、573s。
35/t473,recording_000035,473.0,interval,[],"[[473.3, 475.0]]",[474.15],474.15,False,水瓶从右移到左、手离开idle、再从左移到右。
