audit_key,recording_id,candidate_time,task_timing_status,human_boundary_points_json,human_boundary_intervals_json,motion_phase_points_json,canonical_task_times_json,nearest_canonical_task_time,timing_precision,timing_note
22/t466.8,recording_000022,466.8,point,[469.0],[],[],[469.0],469.0,exact_user,Task-level boundary at ~469s.
30/t556,recording_000030,556.0,interval,[],"[[555.8, 557.0]]",[],[556.4],556.4,exact_user,Repeated reposition instance boundary / release gap.
37/t156,recording_000037,156.0,point,[164.5],[],[],[164.5],164.5,exact_user,Next rinse instance begins after place-cup + idle.
53/t486,recording_000053,486.0,terminal_end,[473.5],[],[],[473.5],473.5,exact_user,Tissue-taking action ends at ~473.5s; afterward no effective action.
61/t590,recording_000061,590.0,no_task_boundary,[],[],[],[],,none,No effective action visible; no task-level boundary can be assigned.
102/t164.5,recording_000102,164.5,point,[166.0],[],[],[166.0],166.0,exact_user,User-marked transition from large wiping strokes to small wiping strokes.
102/t484,recording_000102,484.0,point,[497.0],[],[],[497.0],497.0,exact_user,User-marked transition from small wiping strokes to large wiping strokes.
102/t95,recording_000102,95.0,point,[95.0],[],[],[95.0],95.0,exact_user,User-marked transition from large wiping strokes to small wiping strokes.
110/t504,recording_000110,504.0,multiple_points,"[493.0, 506.0]",[],[],"[493.0, 506.0]",506.0,approximate_user,Approximate task transitions: squeegee -> hand-rinse/splash around 493s; back to squeegee around 506s.
134/t130,recording_000134,130.0,point,[154.0],[],[],[154.0],154.0,exact_user,Boundary between repeated tissue fold/stack instances.
134/t562.5,recording_000134,562.5,multiple_points,"[562.0, 574.0]",[],[],"[562.0, 574.0]",562.0,exact_user,Boundaries between three fold-and-stack tissue instances.
176/t90.5,recording_000176,90.5,interval,[],"[[89.4, 91.4]]",[],[90.4],90.4,exact_user,Release/reset interval between repeated strainer instances.
181/t73.5,recording_000181,73.5,multiple_points,"[72.0, 93.0]",[],[],"[72.0, 93.0]",72.0,exact_user,Repeated strainer-instance boundaries.
181/t233,recording_000181,233.0,multiple_points,"[223.0, 231.0, 240.0]",[],[],"[223.0, 231.0, 240.0]",231.0,exact_user,Repeated strainer-instance boundaries.
188/t456,recording_000188,456.0,multiple_points,"[455.0, 480.0]",[],[],"[455.0, 480.0]",455.0,approximate_user,Second boundary around 480s was given approximately.
